dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5020063873815993,0.4919338822364807,0.512506902217865,512,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,rgb,19,c8a41d4875479837,-6,4,40,True,200,,,,,,,0.059518508135194055,0.07982191894399493,0.29893294761055395,,,,,6
benv2,linear,micro_mAP,0.5305806814557121,0.5210201144218445,0.5397843718528748,512,27.28333376486764,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,rgb,19,c8a41d4875479837,-6,4,40,True,200,,,,,,,0.042486565922828096,0.06574812021694686,0.5369964775286222,,,,,15
eurosat-spatial,knn5,accuracy,0.5685185185185185,0.5540693998336792,0.5816712975502014,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,all,10,2f2a1aa176f39cf7,-6,4,40,True,200,,,,,,,0.1661066859960556,0.1704595386981964,0.21871507167816162,,,,,6
eurosat-spatial,linear,accuracy,0.542962962962963,0.5301851630210876,0.5550370216369629,512,522.3345074266832,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,all,10,2f2a1aa176f39cf7,-6,4,40,True,200,,,,,,,0.04177074879407883,0.05459428206086159,0.11541169881820679,,,,,15
forestnet,knn5,accuracy,0.2608257804632427,0.23361027240753174,0.29003021121025085,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,rgb,12,c8a41d4875479837,-6,4,40,True,200,,,,,,,0.3967788517475128,0.4228823781013489,0.5729103088378906,,,,,6
forestnet,linear,accuracy,0.40584088620342396,0.37860018014907837,0.4420946538448334,512,1.4251026703029963,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,rgb,12,c8a41d4875479837,-6,4,40,True,200,,,,,,,0.03613969311118126,0.06379938870668411,0.46590495109558105,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3137460962714162,0.2976192235946655,0.3306008577346802,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,all,43,2f2a1aa176f39cf7,-6,4,40,True,200,,,,,,,0.055711649271637895,0.07474048509327479,0.4359289496097454,,,,,6
m-bigearthnet,linear,micro_mAP,0.3351918980001505,0.31367993354797363,0.3601144254207611,512,1701.2542798525858,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,all,43,2f2a1aa176f39cf7,-6,4,40,True,200,,,,,,,0.036274023115808185,0.07514767366093258,0.5224004044782283,,,,,15
m-brick-kiln,knn5,accuracy,0.8378378378378378,0.8178178071975708,0.8608859181404114,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,all,2,2f2a1aa176f39cf7,-6,4,40,True,200,,,,,,,0.03984017297625542,0.0455174520611763,0.058510661125183105,,,,,6
m-brick-kiln,linear,accuracy,0.8618618618618619,0.8408408164978027,0.8809059262275696,512,1.8047217668271703e-06,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,all,2,2f2a1aa176f39cf7,-6,4,40,True,200,,,,,,,0.03333529084920883,0.043768636882305145,0.1665034294128418,,,,,15
m-eurosat,knn5,accuracy,0.553,0.5239999890327454,0.5820500254631042,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,model_native,,bilinear,default,all,10,2f2a1aa176f39cf7,-6,4,40,True,200,,,,,,,0.06560060381889343,0.07326663285493851,0.17435888946056366,,,,,6
