dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5529033714810934,0.5438396334648132,0.561693549156189,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,19,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.0553921012722544,0.06955178827047348,0.2988876159253873,,,,,6
benv2,linear,micro_mAP,0.7233482034305982,0.7157454490661621,0.7305446863174438,2048,0.7896522868499717,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,19,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.017861699228983764,0.030930617934485014,0.22619521617889404,,,,,15
eurosat-spatial,knn5,accuracy,0.7564814814814815,0.7451805472373962,0.7681620121002197,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,10,e733177c86551eab,-6,4,40,True,200,,,,,,,0.06925735622644424,0.07065655291080475,0.10769228637218475,,,,,6
eurosat-spatial,linear,accuracy,0.8648148148148148,0.8553703427314758,0.8744722008705139,2048,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,10,e733177c86551eab,-6,4,40,True,200,,,,,,,0.010181888937950134,0.02280510403215885,0.10946083068847656,,,,,15
forestnet,knn5,accuracy,0.35750251762336355,0.33028700947761536,0.3868831694126129,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,12,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.350051611661911,0.36026376485824585,0.4405714273452759,,,,,6
forestnet,linear,accuracy,0.5327291037260826,0.5015105605125427,0.5629405975341797,2048,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,12,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.053864672780036926,0.0753370150923729,0.23443210124969482,,,,,15
m-bigearthnet,knn5,micro_mAP,0.41563459454663887,0.4001654088497162,0.43365347385406494,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,43,e733177c86551eab,-6,4,40,True,200,,,,,,,0.04450233048911011,0.061572781352456224,0.35056394061376883,,,,,6
m-bigearthnet,linear,micro_mAP,0.5774466734242615,0.5600093603134155,0.5944704413414001,2048,1.4251026703029963,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,43,e733177c86551eab,-6,4,40,True,200,,,,,,,0.020439569621758406,0.052524459829857185,0.5014464605686276,,,,,15
m-brick-kiln,knn5,accuracy,0.8348348348348348,0.8128128051757812,0.8548548817634583,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,2,e733177c86551eab,-6,4,40,True,200,,,,,,,0.028429081663489342,0.03706635534763336,0.050656676292419434,,,,,6
m-brick-kiln,linear,accuracy,0.8858858858858859,0.8678178191184998,0.9039289355278015,2048,289.426612471674,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,2,e733177c86551eab,-6,4,40,True,200,,,,,,,0.03826851025223732,0.05486983060836792,0.20678409934043884,,,,,15
m-eurosat,knn5,accuracy,0.75,0.7238999605178833,0.7760249972343445,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,10,e733177c86551eab,-6,4,40,True,200,,,,,,,0.03920050710439682,0.04409334063529968,0.05437350273132324,,,,,6
m-eurosat,linear,accuracy,0.855,0.832925021648407,0.8740000128746033,2048,15.117750706156599,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,10,e733177c86551eab,-6,4,40,True,200,,,,,,,0.017054345458745956,0.043188776820898056,0.2128855288028717,,,,,15
m-forestnet,knn5,accuracy,0.3464249748237664,0.32223060727119446,0.3726586103439331,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,12,e733177c86551eab,-6,4,40,True,200,,,,,,,0.36173364520072937,0.36981678009033203,0.43636566400527954,,,,,6
m-forestnet,linear,accuracy,0.5095669687814703,0.4773162007331848,0.5387965440750122,2048,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,12,e733177c86551eab,-6,4,40,True,200,,,,,,,0.04930097609758377,0.06654410064220428,0.18387387692928314,,,,,15
m-pv4ger,knn5,accuracy,0.950950950950951,0.9369118809700012,0.9630130529403687,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,2,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.028828775510191917,0.034397196024656296,0.09824520349502563,,,,,6
m-pv4ger,linear,accuracy,0.963963963963964,0.9529529809951782,0.9750000238418579,2048,27.28333376486764,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,2,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.029462670907378197,0.050681326538324356,0.49872779846191406,,,,,15
m-so2sat,knn5,accuracy,0.3275862068965517,0.2981744408607483,0.35499492287635803,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,17,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.2586212158203125,0.2716308534145355,0.3629150390625,,,,,6
m-so2sat,linear,accuracy,0.5030425963488844,0.4664553701877594,0.5334938764572144,2048,8.376776400682907,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,17,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.09268610924482346,0.10035155713558197,0.1705663800239563,,,,,15
so2sat,knn5,accuracy,0.3275862068965517,0.299163281917572,0.36313387751579285,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,17,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.2586212158203125,0.2716308534145355,0.3629150390625,,,,,6
so2sat,linear,accuracy,0.5030425963488844,0.47358012199401855,0.5335446000099182,2048,8.376776400682907,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,17,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.09254234284162521,0.10331384092569351,0.17520862817764282,,,,,15
treesatai,knn5,micro_mAP,0.38886430331275723,0.37589356303215027,0.40370166301727295,2048,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,15,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.07190658673644065,0.09393008512755235,0.48537687957286835,,,,,6
treesatai,linear,micro_mAP,0.5714299238017092,0.5569493770599365,0.585760772228241,2048,0.7896522868499717,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,rgb,15,ee1039455b635a3a,-6,4,40,True,200,,,,,,,0.02374117214543124,0.034795757724593084,0.2845456065920492,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4153469798794705,0.39958590269088745,0.4292706251144409,2048,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,43,57b85ef5d961fd77,-6,4,40,True,200,,,,,,,0.04452093500037526,0.06157191214693147,0.3508526544238246,,,,,6
m-bigearthnet,linear,micro_mAP,0.577403818171597,0.5602062344551086,0.5924091339111328,2048,1.4251026703029963,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,43,57b85ef5d961fd77,-6,4,40,True,200,,,,,,,0.020384859629408565,0.05263343479397685,0.498862249906673,,,,,15
m-brick-kiln,knn5,accuracy,0.8348348348348348,0.8147647380828857,0.8568568825721741,2048,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,2,57b85ef5d961fd77,-6,4,40,True,200,,,,,,,0.02762790583074093,0.03697803616523743,0.05056178569793701,,,,,6
m-brick-kiln,linear,accuracy,0.8868868868868869,0.8698198199272156,0.9049299359321594,2048,289.426612471674,,,15063,999,999,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_fmow_gassl,model_native,224,bilinear,default,all,2,57b85ef5d961fd77,-6,4,40,True,200,,,,,,,0.03904358670115471,0.0468122661113739,0.10281512141227722,,,,,15
