dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5224715945029936,0.512875497341156,0.530206561088562,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,rgb,19,e2e9ded8390e54e6,-6,4,40,True,200,,,,,,,0.058431572648451516,0.07809484549062817,0.33763359565483897,,,,,6
benv2,linear,micro_mAP,0.6862627456023741,0.6780485510826111,0.6953436136245728,2048,15.117750706156599,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,rgb,19,e2e9ded8390e54e6,-6,4,40,True,200,,,,,,,0.018960274183068816,0.03207678690944847,0.2686372383644706,,,,,15
eurosat-spatial,knn5,accuracy,0.6827777777777778,0.6696249842643738,0.695027768611908,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,10,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.09944114089012146,0.10269495099782944,0.13964861631393433,,,,,6
eurosat-spatial,linear,accuracy,0.837037037037037,0.8272036910057068,0.8459305763244629,2048,160.37187437513276,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,10,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.04450368508696556,0.0528535433113575,0.11380475759506226,,,,,15
forestnet,knn5,accuracy,0.2980866062437059,0.2718781530857086,0.32829809188842773,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,12,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.3766380250453949,0.3929368257522583,0.4729729890823364,,,,,6
forestnet,linear,accuracy,0.46827794561933533,0.4380412697792053,0.4995468556880951,2048,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,12,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.053018826991319656,0.07187452167272568,0.19107694923877716,,,,,15
m-bigearthnet,knn5,micro_mAP,0.35476238894803885,0.3380218744277954,0.3720986247062683,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,43,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.05112094206865444,0.06950956587354805,0.3611217246845711,,,,,6
m-bigearthnet,linear,micro_mAP,0.5261606415087297,0.508272111415863,0.5432169437408447,2048,27.28333376486764,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,43,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.020772174130692038,0.05081866209416888,0.5025280000165452,,,,,15
m-brick-kiln,knn5,accuracy,0.8648648648648649,0.8388137817382812,0.8849099278450012,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,2,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.01981952413916588,0.02176756225526333,0.026833653450012207,,,,,6
m-brick-kiln,linear,accuracy,0.8828828828828829,0.8618118166923523,0.9019269347190857,2048,49.238826317067314,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,224,bilinear,default,all,2,9c95e1d5ad732f96,-6,4,40,True,200,,,,,,,0.02333976700901985,0.049431219696998596,0.14414840936660767,,,,,15
