dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.48544820632570573,0.47575634717941284,0.4950748085975647,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,19,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.062252662677660976,0.08430505431208171,0.38155526314911087,,,,,6
benv2,linear,micro_mAP,0.6424367104599382,0.6334004402160645,0.6524589657783508,2048,4.641588833612772,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,19,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.021722446324450796,0.035434163910777944,0.33499796766983836,,,,,15
eurosat-spatial,knn5,accuracy,0.6229629629629629,0.6092545986175537,0.6348194479942322,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,10,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.13958938419818878,0.14715400338172913,0.21307820081710815,,,,,6
eurosat-spatial,linear,accuracy,0.7253703703703703,0.7123981714248657,0.7363657355308533,2048,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,10,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.07975558936595917,0.09532404690980911,0.17274081707000732,,,,,15
forestnet,knn5,accuracy,0.3554884189325277,0.32927995920181274,0.3877139985561371,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,12,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.3377656042575836,0.35394617915153503,0.44000208377838135,,,,,6
forestnet,linear,accuracy,0.5095669687814703,0.4823514521121979,0.5418177247047424,2048,8.376776400682907,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,12,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.06339713931083679,0.07540268450975418,0.25731799006462097,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3083225350469541,0.29317507147789,0.3256121277809143,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,43,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.054627924811008366,0.07507715907034486,0.406300252953241,,,,,6
m-bigearthnet,linear,micro_mAP,0.4633977482491431,0.44391849637031555,0.48094192147254944,2048,8.376776400682907,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,43,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.02043280765674142,0.04785738398082728,0.5103973493326542,,,,,15
m-brick-kiln,knn5,accuracy,0.8318318318318318,0.8107857704162598,0.8528779149055481,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,2,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.032832276076078415,0.03906256705522537,0.052941203117370605,,,,,6
m-brick-kiln,linear,accuracy,0.8628628628628628,0.8428177833557129,0.8838838934898376,2048,27.28333376486764,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,2,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.03384135663509369,0.05860808119177818,0.2614610195159912,,,,,15
m-eurosat,knn5,accuracy,0.632,0.6010000109672546,0.6630499958992004,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,10,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.06480064988136292,0.06820254027843475,0.08826002478599548,,,,,6
m-eurosat,linear,accuracy,0.753,0.7269499897956848,0.7820249795913696,2048,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,10,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.03077045828104019,0.03984548896551132,0.10876548290252686,,,,,15
m-forestnet,knn5,accuracy,0.364551863041289,0.33736154437065125,0.3988167345523834,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,12,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.31963884830474854,0.32670164108276367,0.4082840085029602,,,,,6
m-forestnet,linear,accuracy,0.5075528700906344,0.47933030128479004,0.534818708896637,2048,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,12,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.04496096074581146,0.05691785365343094,0.18631190061569214,,,,,15
m-pv4ger,knn5,accuracy,0.928928928928929,0.9108858704566956,0.9479479193687439,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,2,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.0334334559738636,0.035649217665195465,0.06530618667602539,,,,,6
m-pv4ger,linear,accuracy,0.9459459459459459,0.9328828454017639,0.962988018989563,2048,88.86238162743389,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,all,2,86f4dd7438bf2b43,-6,4,40,True,200,,,,,,,0.02248532697558403,0.034504372626543045,0.16353702545166016,,,,,15
m-so2sat,knn5,accuracy,0.20588235294117646,0.17748478055000305,0.23331642150878906,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,17,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.27545520663261414,0.29314297437667847,0.5058819055557251,,,,,6
m-so2sat,linear,accuracy,0.3235294117647059,0.296146035194397,0.3498985767364502,2048,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,17,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.03046494908630848,0.059647779911756516,0.6556884050369263,,,,,15
so2sat,knn5,accuracy,0.20588235294117646,0.1845334768295288,0.2332657128572464,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,17,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.27545520663261414,0.29314297437667847,0.5058819055557251,,,,,6
so2sat,linear,accuracy,0.3204868154158215,0.2971095144748688,0.35395538806915283,2048,0.437547937507418,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,17,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.026472847908735275,0.05809681490063667,0.6563899517059326,,,,,15
treesatai,knn5,micro_mAP,0.2977946448968924,0.28478023409843445,0.30986401438713074,2048,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,15,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.08485328232248625,0.10979741116364797,0.487565474708875,,,,,6
treesatai,linear,micro_mAP,0.46222815214523794,0.4475277066230774,0.48005959391593933,2048,27.28333376486764,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,bandspec_zscore,,bilinear,default,rgb,15,8f33f99ea6684bf1,-6,4,40,True,200,,,,,,,0.03253741703617076,0.04645214655126135,0.39227870184307295,,,,,15
