dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5819473369336139,0.5727086663246155,0.5915082097053528,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,rgb,19,223ec97b6580e264,-6,4,40,True,200,,,,,,,0.049286871854411926,0.06620189057368982,0.32274286841091354,,,,,6
benv2,linear,micro_mAP,0.7404622573944277,0.7327849268913269,0.747785747051239,2048,2.5719138090593416,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,rgb,19,223ec97b6580e264,-6,4,40,True,200,,,,,,,0.017017023905952413,0.029747899578835228,0.20043504630264483,,,,,15
eurosat-spatial,knn5,accuracy,0.7811111111111111,0.7705370187759399,0.7935185432434082,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,10,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.05651608482003212,0.06262646615505219,0.10921743512153625,,,,,6
eurosat-spatial,linear,accuracy,0.8666666666666667,0.8577731251716614,0.87520831823349,2048,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,10,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.016712145879864693,0.030236663296818733,0.11696654558181763,,,,,15
forestnet,knn5,accuracy,0.40080563947633435,0.37059417366981506,0.43408864736557007,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,12,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.3309176564216614,0.34298208355903625,0.409273624420166,,,,,6
forestnet,linear,accuracy,0.5206445115810675,0.4914149045944214,0.5498489141464233,2048,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,12,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.07006247341632843,0.09265659004449844,0.2939140796661377,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4481724900422024,0.43208402395248413,0.467000812292099,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,43,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.04082791427107051,0.05950586978606014,0.30720097970130833,,,,,6
m-bigearthnet,linear,micro_mAP,0.6081373325761938,0.5917019248008728,0.6265811324119568,2048,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,43,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.020869225523499554,0.05145019652365252,0.46577971965767617,,,,,15
m-brick-kiln,knn5,accuracy,0.8088088088088088,0.7827577590942383,0.829879879951477,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,2,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.032032646238803864,0.03705090656876564,0.0453563928604126,,,,,6
m-brick-kiln,linear,accuracy,0.8778778778778779,0.8598348498344421,0.8978978991508484,2048,1.4251026703029963,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,2,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.03259266912937164,0.047803569585084915,0.10000836849212646,,,,,15
m-eurosat,knn5,accuracy,0.737,0.7079750299453735,0.7660499811172485,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,10,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.03799957409501076,0.041174210608005524,0.0577186644077301,,,,,6
m-eurosat,linear,accuracy,0.845,0.8259750008583069,0.8660500049591064,2048,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2all_moco,model_native,,bilinear,default,all,10,d57ac2c6ce0d79ce,-6,4,40,True,200,,,,,,,0.030863698571920395,0.045406926423311234,0.19369184970855713,,,,,15
