dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.4786256687609297,0.469664603471756,0.48625409603118896,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.06541582978771705,0.08534488150555837,0.3209545345682847,,,,,6
benv2,linear,micro_mAP,0.5936442498834683,0.5826069116592407,0.6037023663520813,2048,0.0006614740641230146,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.026450700053062878,0.04621256314414112,0.5650128969236424,,,,,15
eurosat-spatial,knn5,accuracy,0.5568518518518518,0.5433287024497986,0.5698240399360657,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,10,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.15125668048858643,0.16329315304756165,0.25855010747909546,,,,,6
eurosat-spatial,linear,accuracy,0.617037037037037,0.6054907441139221,0.6285324096679688,2048,0.003888155180308085,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,10,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.05569317564368248,0.06552036851644516,0.12540173530578613,,,,,15
forestnet,knn5,accuracy,0.23464249748237664,0.20946626365184784,0.2598187327384949,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.3955705165863037,0.4347001314163208,0.6513761281967163,,,,,6
forestnet,linear,accuracy,0.3867069486404834,0.3594914376735687,0.41694360971450806,2048,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.07706192880868912,0.17142683267593384,0.948256254196167,,,,,15
m-bigearthnet,knn5,micro_mAP,0.2961955564583038,0.2779181897640228,0.30991268157958984,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,43,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.060679101298541524,0.07999563407759334,0.4497486047966536,,,,,6
m-bigearthnet,linear,micro_mAP,0.35673094010707185,0.34045690298080444,0.3762717545032501,2048,0.002154434690031882,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,43,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.024686427786946297,0.06381998601001362,0.800809129726055,,,,,15
m-brick-kiln,knn5,accuracy,0.8658658658658659,0.8438438177108765,0.8859109282493591,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.05705661326646805,0.06088462471961975,0.0682593584060669,,,,,6
m-brick-kiln,linear,accuracy,0.8778778778778779,0.8598598837852478,0.8968968987464905,2048,0.0002030917620904735,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.028560511767864227,0.04280604422092438,0.13081109523773193,,,,,15
m-eurosat,knn5,accuracy,0.564,0.5299999713897705,0.5989999771118164,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,all,10,35aa1bf038784b04,-6,4,40,True,200,,,,,,,0.07980062812566757,0.08445538580417633,0.10846501588821411,,,,,6
m-eurosat,linear,accuracy,0.674,0.6449750065803528,0.7020500302314758,2048,0.012663801734674022,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,all,10,35aa1bf038784b04,-6,4,40,True,200,,,,,,,0.04270884394645691,0.0650622621178627,1.0,,,,,15
m-forestnet,knn5,accuracy,0.2527693856998993,0.22656092047691345,0.28202417492866516,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.36858150362968445,0.39952850341796875,0.5789473652839661,,,,,6
m-forestnet,linear,accuracy,0.4028197381671702,0.37557902932167053,0.43104231357574463,2048,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.10429760813713074,0.19418630003929138,1.0,,,,,15
m-pv4ger,knn5,accuracy,0.8968968968968969,0.879879891872406,0.9189439415931702,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.049249254167079926,0.06454990059137344,0.16697287559509277,,,,,6
m-pv4ger,linear,accuracy,0.9229229229229229,0.9068818688392639,0.9409909844398499,2048,0.0744380301325168,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,8f3bf056b7c558e9,-6,4,40,True,200,,,,,,,0.030773397535085678,0.05231773480772972,0.2071564793586731,,,,,15
