dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.43498353465329187,0.4251689314842224,0.44283634424209595,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,19,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.07013175267677166,0.09312622376570576,0.41032906190345164,,,,,6
benv2,linear,micro_mAP,0.5725150872822813,0.5622249841690063,0.5811638236045837,2048,0.0006614740641230146,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,19,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.02628480486179653,0.03922147507240113,0.2901062228177723,,,,,15
eurosat-spatial,knn5,accuracy,0.5698148148148148,0.5568379759788513,0.5827916860580444,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,10,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.14303356409072876,0.1470661610364914,0.19004681706428528,,,,,6
eurosat-spatial,linear,accuracy,0.6338888888888888,0.6201574206352234,0.6483379602432251,2048,0.0002030917620904735,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,10,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.021243764087557793,0.03250445798039436,0.2156991958618164,,,,,15
forestnet,knn5,accuracy,0.22860020140986909,0.20040282607078552,0.25684794783592224,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.39013242721557617,0.41851624846458435,0.5628477334976196,,,,,6
forestnet,linear,accuracy,0.33434038267875127,0.30808156728744507,0.3665659725666046,2048,0.0006614740641230146,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.054852306842803955,0.09992468357086182,0.48221221566200256,,,,,15
m-bigearthnet,knn5,micro_mAP,0.26799926772456045,0.2524122893810272,0.28068476915359497,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.06247443367922029,0.08282929355668467,0.4082875477020131,,,,,6
m-bigearthnet,linear,micro_mAP,0.38471556282597963,0.3687328100204468,0.401769757270813,2048,0.0006614740641230146,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.02019104181767203,0.04038852219318235,0.46790624323279356,,,,,15
m-brick-kiln,knn5,accuracy,0.7977977977977978,0.7737737894058228,0.8208708763122559,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.04244200140237808,0.0523182712495327,0.07456141710281372,,,,,6
m-brick-kiln,linear,accuracy,0.8348348348348348,0.8127627372741699,0.8568819165229797,2048,0.00011253355826007646,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.04431222751736641,0.059116046875715256,0.11758482456207275,,,,,15
m-eurosat,knn5,accuracy,0.55,0.5229750275611877,0.5870000123977661,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,all,10,bf6d07deb8284da5,-6,4,40,True,200,,,,,,,0.0912008136510849,0.0996478870511055,0.1233343780040741,,,,,6
m-eurosat,linear,accuracy,0.627,0.5979999899864197,0.6549999713897705,2048,0.002154434690031882,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,all,10,bf6d07deb8284da5,-6,4,40,True,200,,,,,,,0.05620105564594269,0.07362467795610428,0.19461871683597565,,,,,15
m-forestnet,knn5,accuracy,0.2255790533736153,0.20040282607078552,0.2538016140460968,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,d29b962e9238765d,-6,4,40,True,200,,,,,,,0.38751429319381714,0.41058629751205444,0.6842105388641357,,,,,6
