dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6576823292996253,0.6493735313415527,0.6670911312103271,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,19,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.042531545445519056,0.056764294638445505,0.26858668146949066,,,,,6
benv2,linear,micro_mAP,0.8024709782461587,0.7943581938743591,0.8083485960960388,2048,1.4251026703029963,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,19,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.015134905933672073,0.03216336302361206,0.25202691241314534,,,,,15
eurosat-spatial,knn5,accuracy,0.8688888888888889,0.8590601682662964,0.8779768347740173,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.03007582761347294,0.04032766446471214,0.30000001192092896,,,,,6
eurosat-spatial,linear,accuracy,0.9516666666666667,0.9459213018417358,0.9570509195327759,2048,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.011519654653966427,0.020936142653226852,0.10503032803535461,,,,,15
forestnet,knn5,accuracy,0.38972809667673713,0.3584592044353485,0.41795065999031067,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,12,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.30392882227897644,0.3158127963542938,0.40109890699386597,,,,,6
forestnet,linear,accuracy,0.5558912386706949,0.52263343334198,0.5881671905517578,2048,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,12,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.03367571160197258,0.04474030062556267,0.10039153695106506,,,,,15
m-bigearthnet,knn5,micro_mAP,0.49932148752326655,0.4834294319152832,0.5176379084587097,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.037865117798710976,0.05572909740514533,0.28058827685755355,,,,,6
m-bigearthnet,linear,micro_mAP,0.6532451530217815,0.6359500885009766,0.6688659191131592,2048,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.021299767946867748,0.0538224876793318,0.4686354662096778,,,,,15
m-brick-kiln,knn5,accuracy,0.8848848848848849,0.8608608841896057,0.9049049019813538,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.042041756212711334,0.05045974254608154,0.0906863808631897,,,,,6
m-brick-kiln,linear,accuracy,0.924924924924925,0.9119119048118591,0.9369619488716125,2048,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.02310417965054512,0.03849748149514198,0.14941436052322388,,,,,15
m-eurosat,knn5,accuracy,0.878,0.8569750189781189,0.8960250020027161,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.02699965424835682,0.041048724204301834,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.94,0.9259750247001648,0.9549999833106995,2048,49.238826317067314,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.02840137854218483,0.05943094193935394,0.44772836565971375,,,,,15
m-forestnet,knn5,accuracy,0.391742195367573,0.36248740553855896,0.4199899435043335,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,12,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.3309177756309509,0.343690425157547,0.3927173316478729,,,,,6
m-forestnet,linear,accuracy,0.5206445115810675,0.48841893672943115,0.5499244332313538,2048,1.4251026703029963,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,12,4ccc62f7c571c9f5,-6,4,40,True,200,,,,,,,0.09585055708885193,0.1274028867483139,0.3183442950248718,,,,,15
m-pv4ger,knn5,accuracy,0.9419419419419419,0.9279279112815857,0.9579830169677734,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,2,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.024624677374958992,0.026436127722263336,0.0651165246963501,,,,,6
m-pv4ger,linear,accuracy,0.9619619619619619,0.9499499201774597,0.9739990234375,2048,2.5719138090593416,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,2,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.021381262689828873,0.04919738322496414,0.3870513439178467,,,,,15
m-so2sat,knn5,accuracy,0.4553752535496957,0.42996954917907715,0.4898833632469177,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.20121809840202332,0.2058832198381424,0.2663043737411499,,,,,6
m-so2sat,linear,accuracy,0.6146044624746451,0.5861561894416809,0.6481237411499023,2048,0.13433993325988988,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.04330816492438316,0.05427346006035805,0.09450724720954895,,,,,15
so2sat,knn5,accuracy,0.4553752535496957,0.4299949109554291,0.48291075229644775,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.20121809840202332,0.2058832198381424,0.2663043737411499,,,,,6
so2sat,linear,accuracy,0.6277890466531441,0.6014198660850525,0.6592545509338379,2048,0.24244620170823258,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,17,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.03966609016060829,0.05349557846784592,0.14050327241420746,,,,,15
treesatai,knn5,micro_mAP,0.4264645294029195,0.41110315918922424,0.4424227178096771,2048,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,15,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.06614001542329788,0.08626681119203568,0.41055594980716703,,,,,6
treesatai,linear,micro_mAP,0.5991818628448324,0.5837775468826294,0.615827202796936,2048,1.4251026703029963,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,rgb,15,030f2e6e57030d49,-6,4,40,True,200,,,,,,,0.024392261899386845,0.04135774423678716,0.3712039366364479,,,,,15
m-bigearthnet,knn5,micro_mAP,0.49950827977920637,0.48144227266311646,0.5148141384124756,2048,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,822f9b6108a0a57e,-6,4,40,True,200,,,,,,,0.0379069788208188,0.05573863271883754,0.2804041570702264,,,,,6
m-bigearthnet,linear,micro_mAP,0.6532587444479314,0.636542022228241,0.6688852906227112,2048,2.5719138090593416,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,43,822f9b6108a0a57e,-6,4,40,True,200,,,,,,,0.02120034047943908,0.053132136374018916,0.4671092269032501,,,,,15
m-brick-kiln,knn5,accuracy,0.8858858858858859,0.8658658862113953,0.9039289355278015,2048,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,822f9b6108a0a57e,-6,4,40,True,200,,,,,,,0.043042752891778946,0.05097859725356102,0.0906863808631897,,,,,6
m-brick-kiln,linear,accuracy,0.923923923923924,0.9078328013420105,0.9389639496803284,2048,2.5719138090593416,,,15063,999,999,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,2,822f9b6108a0a57e,-6,4,40,True,200,,,,,,,0.024113964289426804,0.04014411196112633,0.16124644875526428,,,,,15
m-eurosat,knn5,accuracy,0.878,0.8589500188827515,0.9020500183105469,2048,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,822f9b6108a0a57e,-6,4,40,True,200,,,,,,,0.02699965424835682,0.041048724204301834,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.941,0.9269750118255615,0.9560249447822571,2048,88.86238162743389,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,10,822f9b6108a0a57e,-6,4,40,True,200,,,,,,,0.02891119010746479,0.05555491894483566,0.42125242948532104,,,,,15
m-forestnet,knn5,accuracy,0.391742195367573,0.3645266890525818,0.42399296164512634,2048,,,,6464,989,993,1,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,bandspec_zscore,224,bilinear,default,all,12,822f9b6108a0a57e,-6,4,40,True,200,,,,,,,0.3309177756309509,0.343690425157547,0.3927173316478729,,,,,6
