dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.4722607339574215,0.4637901484966278,0.4814251661300659,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,rgb,19,25fc6b8babfabb8f,-6,4,40,True,200,,,,,,,0.06489482333295439,0.08592243708278004,0.4237934570563467,,,,,6
benv2,linear,micro_mAP,0.501642903576557,0.492969274520874,0.511760950088501,2048,289.426612471674,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,rgb,19,25fc6b8babfabb8f,-6,4,40,True,200,,,,,,,0.04965386721060464,0.07527842921646018,0.5117640252176084,,,,,15
eurosat-spatial,knn5,accuracy,0.5124074074074074,0.49831944704055786,0.5240926146507263,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,10,727e697fe144a531,-6,4,40,True,200,,,,,,,0.18581023812294006,0.1951739490032196,0.2720069885253906,,,,,6
eurosat-spatial,linear,accuracy,0.4114814814814815,0.39665278792381287,0.4263286888599396,2048,1e-06,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,10,727e697fe144a531,-6,4,40,True,200,,,,,,,0.06735936552286148,0.07764910906553268,1.0,,,,,15
forestnet,knn5,accuracy,0.2618328298086606,0.23552365601062775,0.2870342433452606,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,rgb,12,25fc6b8babfabb8f,-6,4,40,True,200,,,,,,,0.3798605799674988,0.4147142767906189,0.6262626647949219,,,,,6
forestnet,linear,accuracy,0.22054380664652568,0.19733132421970367,0.2448136955499649,2048,1e-06,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,rgb,12,25fc6b8babfabb8f,-6,4,40,True,200,,,,,,,0.01188539806753397,0.03014368936419487,0.2672932744026184,,,,,15
m-bigearthnet,knn5,micro_mAP,0.2749569068279533,0.2597392797470093,0.29087361693382263,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,43,727e697fe144a531,-6,4,40,True,200,,,,,,,0.06055815968402596,0.0821356743920681,0.46123595847639925,,,,,6
m-bigearthnet,linear,micro_mAP,0.21984234894366367,0.20314767956733704,0.23995797336101532,2048,88.86238162743389,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,43,727e697fe144a531,-6,4,40,True,200,,,,,,,0.04425729592439047,0.09151470947057702,0.47674074145250545,,,,,15
m-brick-kiln,knn5,accuracy,0.7887887887887888,0.7686687111854553,0.8148148059844971,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,2,727e697fe144a531,-6,4,40,True,200,,,,,,,0.05285344272851944,0.05758770927786827,0.06599533557891846,,,,,6
m-brick-kiln,linear,accuracy,0.6636636636636637,0.6416416168212891,0.6928178071975708,2048,1e-06,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,2,727e697fe144a531,-6,4,40,True,200,,,,,,,0.10522229224443436,0.17605668306350708,0.4795951843261719,,,,,15
m-eurosat,knn5,accuracy,0.485,0.4529249966144562,0.5170000195503235,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,10,727e697fe144a531,-6,4,40,True,200,,,,,,,0.09359991550445557,0.09965305775403976,0.14339612424373627,,,,,6
m-eurosat,linear,accuracy,0.1,0.08197500556707382,0.1200999990105629,2048,1e-06,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,10,727e697fe144a531,-6,4,40,True,200,,,,,,,0.10001076012849808,0.10995215177536011,0.19527269899845123,,,,,15
m-forestnet,knn5,accuracy,0.24471299093655588,0.2215256690979004,0.2719033360481262,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,12,727e697fe144a531,-6,4,40,True,200,,,,,,,0.40261995792388916,0.4331244230270386,0.6442307829856873,,,,,6
m-forestnet,linear,accuracy,0.22054380664652568,0.19629909098148346,0.25078046321868896,2048,1e-06,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,all,12,727e697fe144a531,-6,4,40,True,200,,,,,,,0.008790083229541779,0.019478201866149902,0.11275984346866608,,,,,15
m-pv4ger,knn5,accuracy,0.8798798798798799,0.8608358502388,0.9019269347190857,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,rgb,2,25fc6b8babfabb8f,-6,4,40,True,200,,,,,,,0.059659723192453384,0.07641507685184479,0.18059790134429932,,,,,6
m-pv4ger,linear,accuracy,0.8468468468468469,0.8247997760772705,0.8698698878288269,2048,1e-06,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,rgb,2,25fc6b8babfabb8f,-6,4,40,True,200,,,,,,,0.14692524075508118,0.16669219732284546,0.3578391671180725,,,,,15
m-so2sat,knn5,accuracy,0.1815415821501014,0.15922920405864716,0.20590771734714508,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_seco,model_native,224,bilinear,default,rgb,17,25fc6b8babfabb8f,-6,4,40,True,200,,,,,,,0.2851916253566742,0.31204620003700256,0.5058819055557251,,,,,6
