dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6666273053018765,0.6574224233627319,0.6746387481689453,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,112,area,default,rgb,19,ccc17ae34d82506c,-6,4,40,True,200,2.0,cls,,,,,0.03926053944681036,0.05396108780252306,0.2399005325216996,,,,,6
benv2,linear,micro_mAP,0.7884107912191705,0.7818958163261414,0.7958211898803711,1024,1.4251026703029963,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,112,area,default,rgb,19,ccc17ae34d82506c,-6,4,40,True,200,2.0,cls,,,,,0.015609724839266977,0.03161525305997776,0.2903962919586583,,,,,15
eurosat-spatial,knn5,accuracy,0.9022222222222223,0.8953657150268555,0.9090833067893982,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,64,area,default,rgb,10,ccc17ae34d82506c,-6,4,40,True,200,3.5,cls,,,,,0.017371520400047302,0.020236484706401825,0.06405171751976013,,,,,6
eurosat-spatial,linear,accuracy,0.9535185185185185,0.9472129940986633,0.9594630002975464,1024,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,64,area,default,rgb,10,ccc17ae34d82506c,-6,4,40,True,200,3.5,cls,,,,,0.008542975410819054,0.020696386694908142,0.3844357132911682,,,,,15
forestnet,knn5,accuracy,0.35246727089627394,0.32321247458457947,0.38368579745292664,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,128,area,default,rgb,12,ccc17ae34d82506c,-6,4,40,True,200,1.75,mean,,,,,0.32588255405426025,0.34510567784309387,0.4642355442047119,,,,,6
forestnet,linear,accuracy,0.5367573011077543,0.505513608455658,0.5670946836471558,1024,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,128,area,default,rgb,12,ccc17ae34d82506c,-6,4,40,True,200,1.75,mean,,,,,0.058382175862789154,0.06268291920423508,0.09130805730819702,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5618853244143902,0.54401034116745,0.5776761174201965,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,112,area,default,rgb,43,ccc17ae34d82506c,-6,4,40,True,200,2.0,cls,,,,,0.03266976926432446,0.04951389112271542,0.2850708270142245,,,,,6
m-bigearthnet,linear,micro_mAP,0.6519841889865555,0.6369485259056091,0.668429970741272,1024,5541.020330009481,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,112,area,default,rgb,43,ccc17ae34d82506c,-6,4,40,True,200,2.0,cls,,,,,0.02008554375145671,0.05151190340172413,0.45461878734965655,,,,,15
m-brick-kiln,knn5,accuracy,0.8898898898898899,0.8688438534736633,0.9109359383583069,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,64,area,default,rgb,2,ccc17ae34d82506c,-6,4,40,True,200,10.0,cls,,,,,0.0368366613984108,0.039137158542871475,0.05745953321456909,,,,,6
m-brick-kiln,linear,accuracy,0.9309309309309309,0.9168668389320374,0.9439439177513123,1024,0.437547937507418,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,64,area,default,rgb,2,ccc17ae34d82506c,-6,4,40,True,200,10.0,cls,,,,,0.01699080318212509,0.027435407042503357,0.06319183111190796,,,,,15
m-eurosat,knn5,accuracy,0.922,0.906000018119812,0.9390000104904175,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,64,area,default,rgb,10,ccc17ae34d82506c,-6,4,40,True,200,3.5,cls,,,,,0.031599823385477066,0.04893754795193672,0.10697537660598755,,,,,6
m-eurosat,linear,accuracy,0.966,0.9529750347137451,0.9750249981880188,1024,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,64,area,default,rgb,10,ccc17ae34d82506c,-6,4,40,True,200,3.5,cls,,,,,0.021927867084741592,0.04901846498250961,0.6156760454177856,,,,,15
m-forestnet,knn5,accuracy,0.3393756294058409,0.3120845854282379,0.36565962433815,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,288,area,default,rgb,12,ccc17ae34d82506c,-6,4,40,True,200,0.7777778,cls,,,,,0.3254798948764801,0.3528484106063843,0.5193694829940796,,,,,6
m-forestnet,linear,accuracy,0.5146022155085599,0.4843655526638031,0.5468781590461731,1024,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,288,area,default,rgb,12,ccc17ae34d82506c,-6,4,40,True,200,0.7777778,cls,,,,,0.05071757733821869,0.06672289222478867,0.21366214752197266,,,,,15
m-pv4ger,knn5,accuracy,0.944944944944945,0.9299299120903015,0.9599599838256836,1024,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,96,area,default,rgb,2,ccc17ae34d82506c,-6,4,40,True,200,0.3333333,cls,,,,,0.017217200249433517,0.017828699201345444,0.036363840103149414,,,,,6
m-pv4ger,linear,accuracy,0.9579579579579579,0.9459459185600281,0.9709709882736206,1024,3070.2906297578375,,,11814,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,96,area,default,rgb,2,ccc17ae34d82506c,-6,4,40,True,200,0.3333333,cls,,,,,0.03622189164161682,0.07742740213871002,0.5714297890663147,,,,,15
m-so2sat,knn5,accuracy,0.38843813387423937,0.35991379618644714,0.4158468544483185,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,32,area,default,rgb,17,ccc17ae34d82506c,-6,4,40,True,200,7.0,cls,,,,,0.19513219594955444,0.1992919147014618,0.23728811740875244,,,,,6
m-so2sat,linear,accuracy,0.6075050709939148,0.579082190990448,0.6410243511199951,1024,0.13433993325988988,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,32,area,default,rgb,17,ccc17ae34d82506c,-6,4,40,True,200,7.0,cls,,,,,0.08226288855075836,0.08994703739881516,0.14915114641189575,,,,,15
so2sat,knn5,accuracy,0.38843813387423937,0.3549441993236542,0.4219066798686981,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,32,area,default,rgb,17,ccc17ae34d82506c,-6,4,40,True,200,7.0,cls,,,,,0.19513219594955444,0.1992919147014618,0.23728811740875244,,,,,6
so2sat,linear,accuracy,0.6125760649087221,0.5841785073280334,0.6431034803390503,1024,0.13433993325988988,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,32,area,default,rgb,17,ccc17ae34d82506c,-6,4,40,True,200,7.0,cls,,,,,0.084608294069767,0.09831918776035309,0.18224960565567017,,,,,15
treesatai,knn5,micro_mAP,0.4095275355443058,0.39269405603408813,0.4278427064418793,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,144,area,default,rgb,15,ccc17ae34d82506c,-6,4,40,True,200,1.5555556,mean,,,,,0.07152667194604874,0.09238662297526995,0.5405324886242548,,,,,6
treesatai,linear,micro_mAP,0.6100358543554998,0.593550980091095,0.6251272559165955,1024,0.437547937507418,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,bandspec_zscore,144,area,default,rgb,15,ccc17ae34d82506c,-6,4,40,True,200,1.5555556,mean,,,,,0.02265591441343228,0.03747310936450958,0.35457196036974586,,,,,15
