dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6536864521220734,0.644804060459137,0.6620034575462341,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,112,area,default,rgb,19,a5cc13d640f71a31,-6,4,40,True,200,2.0,cls,,,,,0.04081587890457166,0.05590367086819912,0.226907220129904,,,,,6
benv2,linear,micro_mAP,0.7728070634845248,0.7660890221595764,0.7800235152244568,1024,15.117750706156599,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,112,area,default,rgb,19,a5cc13d640f71a31,-6,4,40,True,200,2.0,cls,,,,,0.020406309650034496,0.0387173096012128,0.32631411050495346,,,,,15
eurosat-spatial,knn5,accuracy,0.8748148148148148,0.8664722442626953,0.8849999904632568,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,64,area,default,rgb,10,a5cc13d640f71a31,-6,4,40,True,200,3.5,cls,,,,,0.029555005952715874,0.03009391389787197,0.30000001192092896,,,,,6
eurosat-spatial,linear,accuracy,0.9418518518518518,0.9360972046852112,0.9485231637954712,1024,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,64,area,default,rgb,10,a5cc13d640f71a31,-6,4,40,True,200,3.5,cls,,,,,0.015175736509263515,0.030779577791690826,0.7319899797439575,,,,,15
forestnet,knn5,accuracy,0.3867069486404834,0.3594662547111511,0.41497984528541565,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,128,area,default,rgb,12,a5cc13d640f71a31,-6,4,40,True,200,1.75,mean,,,,,0.30513736605644226,0.3260955214500427,0.4076942205429077,,,,,6
forestnet,linear,accuracy,0.5478348439073515,0.52064448595047,0.5770644545555115,1024,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,128,area,default,rgb,12,a5cc13d640f71a31,-6,4,40,True,200,1.75,mean,,,,,0.053793516010046005,0.06244129687547684,0.19120679795742035,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5310337481228374,0.5133464932441711,0.5479472279548645,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,112,area,default,rgb,43,a5cc13d640f71a31,-6,4,40,True,200,2.0,cls,,,,,0.03389303154463685,0.05110367716744889,0.2862366018600242,,,,,6
m-bigearthnet,linear,micro_mAP,0.6459606748577458,0.6294588446617126,0.6628798842430115,1024,49.238826317067314,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,112,area,default,rgb,43,a5cc13d640f71a31,-6,4,40,True,200,2.0,cls,,,,,0.02070777045649498,0.05358507510188014,0.4807487525219141,,,,,15
m-brick-kiln,knn5,accuracy,0.8468468468468469,0.8258258104324341,0.8639139533042908,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,64,area,default,rgb,2,a5cc13d640f71a31,-6,4,40,True,200,10.0,cls,,,,,0.05385443940758705,0.056654833257198334,0.06412476301193237,,,,,6
m-brick-kiln,linear,accuracy,0.9069069069069069,0.8898398280143738,0.9269519448280334,1024,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,64,area,default,rgb,2,a5cc13d640f71a31,-6,4,40,True,200,10.0,cls,,,,,0.030835000798106194,0.04655648395419121,0.1584898829460144,,,,,15
m-eurosat,knn5,accuracy,0.865,0.8409500122070312,0.8859999775886536,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,64,area,default,rgb,10,a5cc13d640f71a31,-6,4,40,True,200,3.5,cls,,,,,0.029799845069646835,0.03342900797724724,0.30000001192092896,,,,,6
m-eurosat,linear,accuracy,0.94,0.9279749989509583,0.9520000219345093,1024,8.376776400682907,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,64,area,default,rgb,10,a5cc13d640f71a31,-6,4,40,True,200,3.5,cls,,,,,0.011426480486989021,0.03819293528795242,0.2927984297275543,,,,,15
m-forestnet,knn5,accuracy,0.39274924471299094,0.3584843873977661,0.42301109433174133,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,288,area,default,rgb,12,a5cc13d640f71a31,-6,4,40,True,200,0.7777778,cls,,,,,0.3146035075187683,0.3278338611125946,0.42766162753105164,,,,,6
m-forestnet,linear,accuracy,0.552870090634441,0.52260822057724,0.5831066966056824,1024,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,288,area,default,rgb,12,a5cc13d640f71a31,-6,4,40,True,200,0.7777778,cls,,,,,0.04555988684296608,0.0507279597222805,0.18373346328735352,,,,,15
m-pv4ger,knn5,accuracy,0.944944944944945,0.9309058785438538,0.9599599838256836,1024,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,96,area,default,rgb,2,a5cc13d640f71a31,-6,4,40,True,200,0.3333333,cls,,,,,0.019819792360067368,0.0326903760433197,0.10232526063919067,,,,,6
m-pv4ger,linear,accuracy,0.955955955955956,0.9439188838005066,0.9699950218200684,1024,0.24244620170823258,,,11814,999,999,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,96,area,default,rgb,2,a5cc13d640f71a31,-6,4,40,True,200,0.3333333,cls,,,,,0.02262323535978794,0.058328282088041306,0.3655306100845337,,,,,15
m-so2sat,knn5,accuracy,0.34685598377281945,0.31536510586738586,0.3803245425224304,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,32,area,default,rgb,17,a5cc13d640f71a31,-6,4,40,True,200,7.0,cls,,,,,0.2091277837753296,0.21923226118087769,0.36643460392951965,,,,,6
m-so2sat,linear,accuracy,0.5020283975659229,0.4695233106613159,0.5334685444831848,1024,522.3345074266832,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,32,area,default,rgb,17,a5cc13d640f71a31,-6,4,40,True,200,7.0,cls,,,,,0.15760183334350586,0.17583905160427094,0.30824756622314453,,,,,15
so2sat,knn5,accuracy,0.34685598377281945,0.322489857673645,0.37634381651878357,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,32,area,default,rgb,17,a5cc13d640f71a31,-6,4,40,True,200,7.0,cls,,,,,0.2091277837753296,0.21923226118087769,0.36643460392951965,,,,,6
so2sat,linear,accuracy,0.5294117647058824,0.5020030736923218,0.5608519315719604,1024,1.4251026703029963,,,19992,986,986,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,32,area,default,rgb,17,a5cc13d640f71a31,-6,4,40,True,200,7.0,cls,,,,,0.05607004463672638,0.07135365158319473,0.12845361232757568,,,,,15
treesatai,knn5,micro_mAP,0.41456928577242463,0.39883682131767273,0.42901116609573364,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,144,area,default,rgb,15,a5cc13d640f71a31,-6,4,40,True,200,1.5555556,mean,,,,,0.0703067014614741,0.09080545182029406,0.4612498074769974,,,,,6
treesatai,linear,micro_mAP,0.6099916805937925,0.5940081477165222,0.6258732080459595,1024,0.437547937507418,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,144,area,default,rgb,15,a5cc13d640f71a31,-6,4,40,True,200,1.5555556,mean,,,,,0.024880599129634598,0.03912129405265053,0.34497783879439037,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5309464793592243,0.5133970975875854,0.5464164614677429,1024,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,112,area,default,rgb,43,4b8d582583d8097c,-6,4,40,True,200,2.0,cls,,,,,0.03390698485769505,0.05120435361425544,0.2875300032454868,,,,,6
m-bigearthnet,linear,micro_mAP,0.6462763280488031,0.6305280327796936,0.6638126373291016,1024,27.28333376486764,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoScaleMAEBench,tgeo_scalemae_large_fmow,model_native,112,area,default,rgb,43,4b8d582583d8097c,-6,4,40,True,200,2.0,cls,,,,,0.022132603657366925,0.053499629677728165,0.43590337731117423,,,,,15
