dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6369821247514478,0.6277077198028564,0.6471126079559326,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.04437362459659772,0.059873310113815886,0.2607723466659847,,,,,6
benv2,linear,micro_mAP,0.7706702059991737,0.7636908292770386,0.7779900431632996,1024,0.0744380301325168,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.015914849059251873,0.030383690309367682,0.2604104154988339,,,,,15
eurosat-spatial,knn5,accuracy,0.715925925925926,0.7048009037971497,0.7257499694824219,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.11384961009025574,0.11788669973611832,0.1643831729888916,,,,,6
eurosat-spatial,linear,accuracy,0.9092592592592592,0.9014537334442139,0.9163194298744202,1024,0.24244620170823258,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.010808147490024567,0.01845555379986763,0.37217769026756287,,,,,15
forestnet,knn5,accuracy,0.34441087613293053,0.31319233775138855,0.36958712339401245,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.3109782040119171,0.33773890137672424,0.4736420214176178,,,,,6
forestnet,linear,accuracy,0.5226586102719033,0.4914149045944214,0.5589375495910645,1024,0.007017038286703823,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.04715029522776604,0.05980855971574783,0.23357568681240082,,,,,15
m-bigearthnet,knn5,micro_mAP,0.49663551682972945,0.4796596169471741,0.5139514803886414,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,43,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.03833489174153223,0.055539809817145035,0.33828084032202876,,,,,6
m-bigearthnet,linear,micro_mAP,0.6338747410679574,0.6179874539375305,0.6502104997634888,1024,0.0744380301325168,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,43,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.019007640825801118,0.05027868135204149,0.49167987461699997,,,,,15
m-brick-kiln,knn5,accuracy,0.8438438438438438,0.8217967748641968,0.8668919205665588,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.019219491630792618,0.02466178499162197,0.033582091331481934,,,,,6
m-brick-kiln,linear,accuracy,0.9159159159159159,0.8978978991508484,0.9319319128990173,1024,88.86238162743389,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,c4bf7f9a946d321e,-6,4,40,True,200,,,,,,,0.021904926747083664,0.03559258207678795,0.12622374296188354,,,,,15
