dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5969089753995966,0.5882964134216309,0.6057706475257874,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.04705788407131637,0.06250316698692347,0.2146311574860623,,,,,6
benv2,linear,micro_mAP,0.74431965923667,0.7351394891738892,0.7528170943260193,1024,0.24244620170823258,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.01714645037856443,0.033504085713311246,0.29558367713501577,,,,,15
eurosat-spatial,knn5,accuracy,0.7462962962962963,0.7348101735115051,0.7574120759963989,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,10,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.08322053402662277,0.08621113747358322,0.19999998807907104,,,,,6
eurosat-spatial,linear,accuracy,0.8583333333333333,0.8474027514457703,0.8672500252723694,1024,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,10,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.036934688687324524,0.04069015756249428,0.07897007465362549,,,,,15
forestnet,knn5,accuracy,0.32326283987915405,0.2950402796268463,0.35148540139198303,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.33534878492355347,0.34785711765289307,0.4157223105430603,,,,,6
forestnet,linear,accuracy,0.5216515609264853,0.4843655526638031,0.5509567260742188,1024,0.04124626382901348,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.05215562880039215,0.06308034062385559,0.1797512024641037,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4218142124968146,0.4050828516483307,0.4363303482532501,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,43,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.04333955655957377,0.060838781383841536,0.3121439419513525,,,,,6
m-bigearthnet,linear,micro_mAP,0.585200106827592,0.5692954659461975,0.6017111539840698,1024,0.24244620170823258,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,43,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.021934641449344018,0.0537290905364031,0.47761972421823545,,,,,15
m-brick-kiln,knn5,accuracy,0.8378378378378378,0.8138138055801392,0.8568568825721741,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.024825379252433777,0.027978548780083656,0.037109375,,,,,6
m-brick-kiln,linear,accuracy,0.9159159159159159,0.9008758664131165,0.9309309124946594,1024,8.376776400682907,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,5b4dc5773a5ae9bc,-6,4,40,True,200,,,,,,,0.02395367994904518,0.03359418362379074,0.1267385482788086,,,,,15
