dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5733803473907746,0.5639417767524719,0.5821551084518433,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,19,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.04924988967219466,0.06513848949811961,0.3117975772995698,,,,,6
benv2,linear,micro_mAP,0.7304773421954754,0.7219539880752563,0.7371176481246948,1024,0.13433993325988988,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,19,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.01763321374126367,0.03143962842755412,0.22254178398533872,,,,,15
eurosat-spatial,knn5,accuracy,0.8368518518518518,0.8273935317993164,0.8472314476966858,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,10,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.05503649264574051,0.05591534078121185,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9303703703703704,0.9231389164924622,0.9383333325386047,1024,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,10,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.013161941431462765,0.022543879225850105,0.2611292898654938,,,,,15
forestnet,knn5,accuracy,0.38872104733131924,0.3574773371219635,0.4189577102661133,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,12,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.285600483417511,0.3016934096813202,0.40112996101379395,,,,,6
forestnet,linear,accuracy,0.5337361530715005,0.5024924874305725,0.5659868717193604,1024,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,12,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.05734666436910629,0.07667700946331024,0.1843070536851883,,,,,15
m-bigearthnet,knn5,micro_mAP,0.423466326096252,0.40574297308921814,0.439060240983963,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,43,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.04436280454920475,0.06157824154510055,0.3643977725228598,,,,,6
m-bigearthnet,linear,micro_mAP,0.5953178015116245,0.5782977342605591,0.6103743314743042,1024,0.24244620170823258,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,43,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.021026477174356926,0.052786694579692775,0.5084832265626552,,,,,15
m-brick-kiln,knn5,accuracy,0.9039039039039038,0.8888638615608215,0.9189189076423645,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,2,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.035835668444633484,0.03806903213262558,0.06243234872817993,,,,,6
m-brick-kiln,linear,accuracy,0.94994994994995,0.9379379153251648,0.9619870185852051,1024,27.28333376486764,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_mi,model_native,224,bilinear,default,rgb,2,74440efdd1e03233,-6,4,40,True,200,,,,,,,0.014795179478824139,0.035409629344940186,0.23079559206962585,,,,,15
