dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6117330611078347,0.6035512089729309,0.6208539605140686,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,03e830080d7ac076,-6,4,40,True,200,,,,,,,0.04724739663498966,0.062097101619369106,0.26860479030169937,,,,,6
benv2,linear,micro_mAP,0.7623433499300545,0.7550719380378723,0.7702522873878479,1024,0.24244620170823258,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,03e830080d7ac076,-6,4,40,True,200,,,,,,,0.01737720077538765,0.03408655889430329,0.24730484422884488,,,,,15
eurosat-spatial,knn5,accuracy,0.5725925925925925,0.5605416893959045,0.5855647921562195,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,41a169317c5aec0e,-6,4,40,True,200,,,,,,,0.19321875274181366,0.2022574245929718,0.27711009979248047,,,,,6
eurosat-spatial,linear,accuracy,0.8381481481481482,0.8273749947547913,0.849449098110199,1024,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,10,41a169317c5aec0e,-6,4,40,True,200,,,,,,,0.07630765438079834,0.08766382187604904,0.23414766788482666,,,,,15
forestnet,knn5,accuracy,0.36555891238670696,0.3343152105808258,0.3967774510383606,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,03e830080d7ac076,-6,4,40,True,200,,,,,,,0.29204562306404114,0.31239691376686096,0.4331210255622864,,,,,6
forestnet,linear,accuracy,0.5206445115810675,0.48834341764450073,0.5498992800712585,1024,0.13433993325988988,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,03e830080d7ac076,-6,4,40,True,200,,,,,,,0.052196912467479706,0.0670149028301239,0.14016374945640564,,,,,15
m-bigearthnet,knn5,micro_mAP,0.40735529287400996,0.3915083408355713,0.42743730545043945,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,43,41a169317c5aec0e,-6,4,40,True,200,,,,,,,0.04568373208302398,0.062363145483094594,0.3266216209808061,,,,,6
m-bigearthnet,linear,micro_mAP,0.5856000978079463,0.5714457631111145,0.6023821234703064,1024,289.426612471674,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,all,43,41a169317c5aec0e,-6,4,40,True,200,,,,,,,0.021602493667498578,0.05325571495259917,0.5301200754420702,,,,,15
m-brick-kiln,knn5,accuracy,0.8348348348348348,0.8128128051757812,0.8559309840202332,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,03e830080d7ac076,-6,4,40,True,200,,,,,,,0.03463517501950264,0.03726447746157646,0.046783626079559326,,,,,6
m-brick-kiln,linear,accuracy,0.8958958958958959,0.8778528571128845,0.9129379391670227,1024,1.4251026703029963,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,03e830080d7ac076,-6,4,40,True,200,,,,,,,0.029167260974645615,0.04545259103178978,0.09668087959289551,,,,,15
