dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5864974960642395,0.576326310634613,0.5962748527526855,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,e27d8e6033c5e0c1,-6,4,40,True,200,,,,,,,0.05097629730344603,0.06627957265529978,0.3063208233369024,,,,,6
benv2,linear,micro_mAP,0.7557519634317976,0.7484095692634583,0.7634735703468323,1024,0.7896522868499717,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,e27d8e6033c5e0c1,-6,4,40,True,200,,,,,,,0.0169018898909838,0.03214995947813517,0.2950316879310106,,,,,15
eurosat-spatial,knn5,accuracy,0.705,0.6940555572509766,0.7159537076950073,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,all,10,839ef2971da2239d,-6,4,40,True,200,,,,,,,0.09066419303417206,0.09803302586078644,0.23750005662441254,,,,,6
eurosat-spatial,linear,accuracy,0.8464814814814815,0.8353657126426697,0.8564861416816711,1024,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,all,10,839ef2971da2239d,-6,4,40,True,200,,,,,,,0.043824534863233566,0.04846363887190819,0.09864449501037598,,,,,15
forestnet,knn5,accuracy,0.3544813695871098,0.32019132375717163,0.38471803069114685,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,e27d8e6033c5e0c1,-6,4,40,True,200,,,,,,,0.3119850158691406,0.3327307105064392,0.4166666865348816,,,,,6
forestnet,linear,accuracy,0.5246727089627392,0.4863796532154083,0.553927481174469,1024,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,e27d8e6033c5e0c1,-6,4,40,True,200,,,,,,,0.039461661130189896,0.04876890406012535,0.10171222686767578,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3716609704590276,0.35336369276046753,0.3886379301548004,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,all,43,839ef2971da2239d,-6,4,40,True,200,,,,,,,0.049967463626418004,0.06814666733492253,0.3810801492180935,,,,,6
m-bigearthnet,linear,micro_mAP,0.5750289658699769,0.5593411922454834,0.5903403162956238,1024,1.4251026703029963,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,all,43,839ef2971da2239d,-6,4,40,True,200,,,,,,,0.02085956506604372,0.05034465048202248,0.4721319162568381,,,,,15
m-brick-kiln,knn5,accuracy,0.8668668668668669,0.8458458185195923,0.8879379630088806,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,e27d8e6033c5e0c1,-6,4,40,True,200,,,,,,,0.03163133189082146,0.03221302852034569,0.035292208194732666,,,,,6
m-brick-kiln,linear,accuracy,0.9099099099099099,0.8918918967247009,0.9239489436149597,1024,1.4251026703029963,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,e27d8e6033c5e0c1,-6,4,40,True,200,,,,,,,0.027269363403320312,0.03990888595581055,0.11974912881851196,,,,,15
