dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.47996931676552634,0.4712306559085846,0.4884467124938965,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,19,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.061460571571890464,0.0809519628651048,0.3010537969438653,,,,,6
benv2,linear,micro_mAP,0.6578422191076015,0.6501922607421875,0.6654269695281982,1024,88.86238162743389,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,19,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.022442074094310795,0.03747385242757829,0.3859489387587497,,,,,15
eurosat-spatial,knn5,accuracy,0.7474074074074074,0.7351852059364319,0.7594536542892456,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,all,10,b447043371814d31,-6,4,40,True,200,,,,,,,0.08418315649032593,0.08534836769104004,0.29999998211860657,,,,,6
eurosat-spatial,linear,accuracy,0.867037037037037,0.8588842153549194,0.8750046491622925,1024,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,all,10,b447043371814d31,-6,4,40,True,200,,,,,,,0.0252318624407053,0.027957651764154434,0.24969109892845154,,,,,15
forestnet,knn5,accuracy,0.3856998992950655,0.3554380536079407,0.4119335412979126,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.2964765131473541,0.3124324083328247,0.40000179409980774,,,,,6
forestnet,linear,accuracy,0.5397784491440081,0.5055387616157532,0.572029173374176,1024,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.059391219168901443,0.07268328964710236,0.18765802681446075,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3714940682419624,0.35347265005111694,0.39057087898254395,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,all,43,b447043371814d31,-6,4,40,True,200,,,,,,,0.05047908182754073,0.06901642675836418,0.39325302839279175,,,,,6
m-bigearthnet,linear,micro_mAP,0.5793782569914585,0.5601617693901062,0.5968587398529053,1024,0.437547937507418,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,all,43,b447043371814d31,-6,4,40,True,200,,,,,,,0.020715400933959457,0.053365333958767185,0.5098304855962132,,,,,15
m-brick-kiln,knn5,accuracy,0.8468468468468469,0.8258258104324341,0.866966962814331,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.0322316512465477,0.03566117212176323,0.0414615273475647,,,,,6
m-brick-kiln,linear,accuracy,0.9029029029029029,0.8858608603477478,0.9189439415931702,1024,49.238826317067314,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.03622026741504669,0.05328028276562691,0.22212332487106323,,,,,15
m-eurosat,knn5,accuracy,0.741,0.7119500041007996,0.7720000147819519,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,all,10,b447043371814d31,-6,4,40,True,200,,,,,,,0.0574004091322422,0.06459643691778183,0.12656289339065552,,,,,6
m-eurosat,linear,accuracy,0.874,0.8559499979019165,0.8939999938011169,1024,522.3345074266832,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,all,10,b447043371814d31,-6,4,40,True,200,,,,,,,0.07880692183971405,0.08545127511024475,0.6285382509231567,,,,,15
m-forestnet,knn5,accuracy,0.3756294058408862,0.34438568353652954,0.4048590064048767,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.30070626735687256,0.31657305359840393,0.45546403527259827,,,,,6
m-forestnet,linear,accuracy,0.5347432024169184,0.4994964897632599,0.5680009722709656,1024,0.13433993325988988,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.0929429903626442,0.11041654646396637,0.18792831897735596,,,,,15
m-pv4ger,knn5,accuracy,0.9229229229229229,0.9059059023857117,0.9399649500846863,1024,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.03223218768835068,0.04072447493672371,0.1217389702796936,,,,,6
m-pv4ger,linear,accuracy,0.9529529529529529,0.9418918490409851,0.966966986656189,1024,0.7896522868499717,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.026003442704677582,0.05200272053480148,0.18494176864624023,,,,,15
m-so2sat,knn5,accuracy,0.35699797160243407,0.3305020332336426,0.38542088866233826,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,17,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.243408203125,0.2671419382095337,0.3928157091140747,,,,,6
m-so2sat,linear,accuracy,0.5010141987829615,0.4685344696044922,0.5324797034263611,1024,0.24244620170823258,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,17,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.0483950711786747,0.061500824987888336,0.12813431024551392,,,,,15
so2sat,knn5,accuracy,0.35699797160243407,0.32758620381355286,0.39153146743774414,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,17,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.243408203125,0.2671419382095337,0.3928157091140747,,,,,6
so2sat,linear,accuracy,0.5,0.4695740342140198,0.5263944864273071,1024,0.24244620170823258,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,17,e7f11fa5607dc324,-6,4,40,True,200,,,,,,,0.05485965684056282,0.06859051436185837,0.1516937017440796,,,,,15
