dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.46239641775171375,0.4447419047355652,0.4798429608345032,1024,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.03932094846873782,0.05813762636552023,0.34760564946851064,,,,,6
m-bigearthnet,linear,micro_mAP,0.6069041572231464,0.59103924036026,0.624037504196167,1024,0.04124626382901348,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.019687542366946854,0.05079340791806232,0.4709215115669162,,,,,15
m-brick-kiln,knn5,accuracy,0.7907907907907908,0.7627377510070801,0.8148899078369141,1024,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.02442542463541031,0.02782410755753517,0.03595703840255737,,,,,6
m-brick-kiln,linear,accuracy,0.9049049049049049,0.887837827205658,0.920945942401886,1024,49.238826317067314,,,15063,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.02743726782500744,0.043585121631622314,0.17484885454177856,,,,,15
m-eurosat,knn5,accuracy,0.744,0.7179499864578247,0.7730000019073486,1024,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,86e357a76be0cc70,-6,4,40,True,200,,,,,,,0.030999805778265,0.04035361111164093,0.20000001788139343,,,,,6
m-eurosat,linear,accuracy,0.853,0.8309749960899353,0.8769999742507935,1024,0.0744380301325168,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,86e357a76be0cc70,-6,4,40,True,200,,,,,,,0.02885807864367962,0.04120474308729172,0.2550618350505829,,,,,15
m-forestnet,knn5,accuracy,0.34541792547834843,0.3171953558921814,0.3746223449707031,1024,,,,6464,989,993,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.2996993362903595,0.31345391273498535,0.40489715337753296,,,,,6
m-forestnet,linear,accuracy,0.4702920443101712,0.44008055329322815,0.49748238921165466,1024,0.012663801734674022,,,6464,989,993,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.06773734837770462,0.0800580084323883,0.12593549489974976,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46239641775171375,0.44353199005126953,0.4799656271934509,1024,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.03932094846873782,0.05813762636552023,0.34760564946851064,,,,,6
m-bigearthnet,linear,micro_mAP,0.6068271653492628,0.5885212421417236,0.623845100402832,1024,0.04124626382901348,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.01965864622142426,0.05066609001436899,0.47326899683752727,,,,,15
m-pv4ger,knn5,accuracy,0.92992992992993,0.9149149060249329,0.94296795129776,1024,,,,11814,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.034234192222356796,0.03948933258652687,0.10136932134628296,,,,,6
m-pv4ger,linear,accuracy,0.944944944944945,0.9288538098335266,0.9560060501098633,1024,0.0744380301325168,,,11814,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.029644934460520744,0.042627736926078796,0.17862877249717712,,,,,15
m-brick-kiln,knn5,accuracy,0.7907907907907908,0.7627377510070801,0.8178428411483765,1024,,,,15063,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.02442542463541031,0.02782410755753517,0.03595703840255737,,,,,6
m-brick-kiln,linear,accuracy,0.8988988988988988,0.8818818926811218,0.9139639735221863,1024,27.28333376486764,,,15063,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.02678101882338524,0.04200751706957817,0.1479526162147522,,,,,15
m-so2sat,knn5,accuracy,0.3204868154158215,0.2910243272781372,0.3478955328464508,1024,,,,19992,986,986,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.3097374439239502,0.32380998134613037,0.43414759635925293,,,,,6
m-so2sat,linear,accuracy,0.5223123732251521,0.49490365386009216,0.5588235259056091,1024,0.04124626382901348,,,19992,986,986,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.05900784581899643,0.0657581239938736,0.1842784732580185,,,,,15
m-eurosat,knn5,accuracy,0.744,0.7149999737739563,0.7690500020980835,1024,,,,2000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,aed043df275789df,-6,4,40,True,200,,,,,,,0.030999805778265,0.04035361111164093,0.20000001788139343,,,,,6
m-eurosat,linear,accuracy,0.853,0.8299750089645386,0.8730500340461731,1024,0.0744380301325168,,,2000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,aed043df275789df,-6,4,40,True,200,,,,,,,0.02745894342660904,0.0409204475581646,0.25664186477661133,,,,,15
m-forestnet,knn5,accuracy,0.34541792547834843,0.32119837403297424,0.3716263771057129,1024,,,,6464,989,993,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.2996993362903595,0.31345391273498535,0.40489715337753296,,,,,6
m-forestnet,linear,accuracy,0.46827794561933533,0.44103723764419556,0.5015357136726379,1024,0.012663801734674022,,,6464,989,993,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.06417740881443024,0.07896079123020172,0.172420471906662,,,,,15
treesatai,knn5,micro_mAP,0.3801300101497335,0.36663901805877686,0.39654093980789185,1024,,,,4000,1000,2000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,15,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.07137997796138128,0.09381000598271688,0.3649812509616216,,,,,6
treesatai,linear,micro_mAP,0.5441881164673937,0.5265342593193054,0.5590243339538574,1024,0.04124626382901348,,,4000,1000,2000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,15,168b465ecf9ecb0b,-6,4,40,True,200,,,,,,,0.02852140775260826,0.04644811035444339,0.4357105980316798,,,,,15
m-pv4ger,knn5,accuracy,0.92992992992993,0.9148898720741272,0.9429429173469543,1024,,,,11814,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.034234192222356796,0.03948933258652687,0.10136932134628296,,,,,6
m-pv4ger,linear,accuracy,0.9459459459459459,0.9329329133033752,0.9589589834213257,1024,0.0744380301325168,,,11814,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.030615605413913727,0.045264460146427155,0.1837872862815857,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46239641775171375,0.44687435030937195,0.47873908281326294,1024,,,,20000,1000,1000,3,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,c63a201dfbebe6ed,-6,4,40,True,200,,,,,,,0.03932094846873782,0.05813762636552023,0.34760564946851064,,,,,6
m-bigearthnet,linear,micro_mAP,0.606854627692834,0.5908969044685364,0.6208612322807312,1024,0.04124626382901348,,,20000,1000,1000,3,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,c63a201dfbebe6ed,-6,4,40,True,200,,,,,,,0.019522796720699516,0.05012099722097086,0.45158798819364504,,,,,15
m-so2sat,knn5,accuracy,0.3204868154158215,0.29099899530410767,0.35502028465270996,1024,,,,19992,986,986,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.3097374439239502,0.32380998134613037,0.43414759635925293,,,,,6
m-so2sat,linear,accuracy,0.5223123732251521,0.49383875727653503,0.5537525415420532,1024,0.04124626382901348,,,19992,986,986,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,17,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.060062434524297714,0.06523095071315765,0.18523676693439484,,,,,15
m-brick-kiln,knn5,accuracy,0.7907907907907908,0.763738751411438,0.8168418407440186,1024,,,,15063,999,999,3,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,c63a201dfbebe6ed,-6,4,40,True,200,,,,,,,0.02442542463541031,0.02782410755753517,0.03595703840255737,,,,,6
m-brick-kiln,linear,accuracy,0.8968968968968969,0.8788538575172424,0.9129379391670227,1024,289.426612471674,,,15063,999,999,3,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,c63a201dfbebe6ed,-6,4,40,True,200,,,,,,,0.02658277004957199,0.0346817784011364,0.11422803997993469,,,,,15
treesatai,knn5,micro_mAP,0.3801300101497335,0.36650970578193665,0.39727047085762024,1024,,,,4000,1000,2000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,15,892f2302ae02bd8d,-6,4,40,True,200,,,,,,,0.07137997796138128,0.09381000598271688,0.3649812509616216,,,,,6
