dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.38534573448167647,0.3693900406360626,0.40469294786453247,1024,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.049120948303404244,0.06876551606800667,0.40280129396638203,,,,,6
m-bigearthnet,linear,micro_mAP,0.543299615617283,0.527932345867157,0.5654585361480713,1024,0.0744380301325168,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.021300379847457935,0.04998348657648231,0.4568690671477207,,,,,15
m-brick-kiln,knn5,accuracy,0.7937937937937938,0.7647147178649902,0.8138388395309448,1024,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.04864921793341637,0.04981701821088791,0.05992978811264038,,,,,6
m-brick-kiln,linear,accuracy,0.8798798798798799,0.8558308482170105,0.8978978991508484,1024,5541.020330009481,,,15063,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.028861818835139275,0.043109726160764694,0.10666531324386597,,,,,15
m-eurosat,knn5,accuracy,0.702,0.6719750165939331,0.7290249466896057,1024,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,all,10,42e370fcdd2b9c2a,-6,4,40,True,200,,,,,,,0.05199988931417465,0.060114696621894836,0.20000001788139343,,,,,6
m-eurosat,linear,accuracy,0.786,0.7639999985694885,0.8080250024795532,1024,4.641588833612772,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,all,10,42e370fcdd2b9c2a,-6,4,40,True,200,,,,,,,0.11280867457389832,0.1408405750989914,0.6894922852516174,,,,,15
m-bigearthnet,knn5,micro_mAP,0.38534573448167647,0.36458054184913635,0.4003991484642029,1024,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.049120948303404244,0.06876551606800667,0.40280129396638203,,,,,6
m-bigearthnet,linear,micro_mAP,0.5434981561637957,0.5266900062561035,0.5612295866012573,1024,0.0744380301325168,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.02096935274989106,0.0494512019375729,0.464453074821206,,,,,15
m-forestnet,knn5,accuracy,0.3564954682779456,0.3262839913368225,0.3897280991077423,1024,,,,6464,989,993,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.31057533621788025,0.32480505108833313,0.4108968675136566,,,,,6
m-forestnet,linear,accuracy,0.5025176233635448,0.47228094935417175,0.5357754230499268,1024,0.012663801734674022,,,6464,989,993,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.039837196469306946,0.04329410940408707,0.08759301900863647,,,,,15
m-brick-kiln,knn5,accuracy,0.7937937937937938,0.7646896839141846,0.8178678750991821,1024,,,,15063,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.04864921793341637,0.04981701821088791,0.05992978811264038,,,,,6
m-brick-kiln,linear,accuracy,0.8778778778778779,0.8568318486213684,0.8948948979377747,1024,0.7896522868499717,,,15063,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.024973496794700623,0.03905351459980011,0.16783270239830017,,,,,15
m-eurosat,knn5,accuracy,0.702,0.6759499907493591,0.7330249547958374,1024,,,,2000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,all,10,a6fcb1d7ff2eeee3,-6,4,40,True,200,,,,,,,0.05199988931417465,0.060114696621894836,0.20000001788139343,,,,,6
m-eurosat,linear,accuracy,0.787,0.7579500079154968,0.8120249509811401,1024,8.376776400682907,,,2000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,all,10,a6fcb1d7ff2eeee3,-6,4,40,True,200,,,,,,,0.1219818964600563,0.15180057287216187,0.6890180110931396,,,,,15
m-pv4ger,knn5,accuracy,0.9219219219219219,0.9059059023857117,0.9369369149208069,1024,,,,11814,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.03823821246623993,0.05677269771695137,0.16231834888458252,,,,,6
m-pv4ger,linear,accuracy,0.9359359359359359,0.9198198318481445,0.9489739537239075,1024,0.437547937507418,,,11814,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.036458391696214676,0.0626022145152092,0.296732097864151,,,,,15
m-so2sat,knn5,accuracy,0.2697768762677485,0.24949289858341217,0.29619675874710083,1024,,,,19992,986,986,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,17,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.2829616665840149,0.3030685484409332,0.47200071811676025,,,,,6
m-so2sat,linear,accuracy,0.3509127789046653,0.322489857673645,0.3793357014656067,1024,0.012663801734674022,,,19992,986,986,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,17,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.06752293556928635,0.08982361853122711,0.27888554334640503,,,,,15
m-forestnet,knn5,accuracy,0.3564954682779456,0.3252517580986023,0.38575026392936707,1024,,,,6464,989,993,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.31057533621788025,0.32480505108833313,0.4108968675136566,,,,,6
m-forestnet,linear,accuracy,0.5025176233635448,0.4711228609085083,0.5276938676834106,1024,0.012663801734674022,,,6464,989,993,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.03651005029678345,0.0397857241332531,0.06804424524307251,,,,,15
treesatai,knn5,micro_mAP,0.3807378163570184,0.3686843514442444,0.39547351002693176,1024,,,,4000,1000,2000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,15,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.07217331460366647,0.0936977078517278,0.421127387881279,,,,,6
treesatai,linear,micro_mAP,0.5451789619918571,0.5296436548233032,0.5601860284805298,1024,0.0744380301325168,,,4000,1000,2000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,15,063ee20fe79c6d26,-6,4,40,True,200,,,,,,,0.025549912336282433,0.04169604691366355,0.3756725937128067,,,,,15
m-pv4ger,knn5,accuracy,0.9219219219219219,0.9048798680305481,0.9369619488716125,1024,,,,11814,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.03823821246623993,0.05677269771695137,0.16231834888458252,,,,,6
m-pv4ger,linear,accuracy,0.9369369369369369,0.9208958745002747,0.9529780149459839,1024,0.437547937507418,,,11814,999,999,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.03531862422823906,0.060281917452812195,0.2907072603702545,,,,,15
m-so2sat,knn5,accuracy,0.2697768762677485,0.24543610215187073,0.3012424111366272,1024,,,,19992,986,986,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,17,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.2829616665840149,0.3030685484409332,0.47200071811676025,,,,,6
m-so2sat,linear,accuracy,0.33367139959432046,0.3052484691143036,0.3641227185726166,1024,0.002154434690031882,,,19992,986,986,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,17,bdbcaa5af69b8be2,-6,4,40,True,200,,,,,,,0.06010565906763077,0.07101534307003021,0.3920687735080719,,,,,15
m-bigearthnet,knn5,micro_mAP,0.38534573448167647,0.3664116859436035,0.4024207592010498,1024,,,,20000,1000,1000,3,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,d42f72c6048166d8,-6,4,40,True,200,,,,,,,0.049120948303404244,0.06876551606800667,0.40280129396638203,,,,,6
m-bigearthnet,linear,micro_mAP,0.5433509142742224,0.5276362895965576,0.5602647662162781,1024,0.0744380301325168,,,20000,1000,1000,3,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,d42f72c6048166d8,-6,4,40,True,200,,,,,,,0.021285086664436167,0.049831232272608335,0.4615408778190613,,,,,15
m-brick-kiln,knn5,accuracy,0.7937937937937938,0.7677677869796753,0.8178428411483765,1024,,,,15063,999,999,3,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,d42f72c6048166d8,-6,4,40,True,200,,,,,,,0.04864921793341637,0.04981701821088791,0.05992978811264038,,,,,6
