dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.3831501734903234,0.36677470803260803,0.3987581133842468,1024,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,43,c4aadb934b778b50,-6,4,40,True,200,,,,,,,0.0483814085465531,0.06626359936456348,0.3619973020151604,,,,,6
m-bigearthnet,linear,micro_mAP,0.5546398895793587,0.5344642996788025,0.5717500448226929,1024,0.13433993325988988,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,43,c4aadb934b778b50,-6,4,40,True,200,,,,,,,0.021178107383812584,0.052350331747601196,0.5475050845118457,,,,,15
m-brick-kiln,knn5,accuracy,0.9129129129129129,0.894869863986969,0.9309309124946594,1024,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,2,c4aadb934b778b50,-6,4,40,True,200,,,,,,,0.026826675981283188,0.027481241151690483,0.04285776615142822,,,,,6
m-brick-kiln,linear,accuracy,0.958958958958959,0.9469218850135803,0.9719719886779785,1024,289.426612471674,,,15063,999,999,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,2,c4aadb934b778b50,-6,4,40,True,200,,,,,,,0.018727805465459824,0.03736312314867973,0.23405569791793823,,,,,15
m-eurosat,knn5,accuracy,0.763,0.7389500141143799,0.7900000214576721,1024,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,all,10,7992985ac771cf14,-6,4,40,True,200,,,,,,,0.03960062563419342,0.044255346059799194,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.873,0.8569750189781189,0.8939999938011169,1024,4.641588833612772,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,all,10,7992985ac771cf14,-6,4,40,True,200,,,,,,,0.0450543537735939,0.07894936949014664,0.3749634027481079,,,,,15
m-forestnet,knn5,accuracy,0.36656596173212486,0.3342900276184082,0.39186808466911316,1024,,,,6464,989,993,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,12,c4aadb934b778b50,-6,4,40,True,200,,,,,,,0.3234655559062958,0.33509352803230286,0.41390153765678406,,,,,6
m-forestnet,linear,accuracy,0.5186304128902316,0.4863293170928955,0.5498740673065186,1024,0.003888155180308085,,,6464,989,993,1,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,12,c4aadb934b778b50,-6,4,40,True,200,,,,,,,0.0832110047340393,0.08790046721696854,0.1254502534866333,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3831501734903234,0.3653755784034729,0.3995223641395569,1024,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,43,522295331ae0eab4,-6,4,40,True,200,,,,,,,0.0483814085465531,0.06626359936456348,0.3619973020151604,,,,,6
m-bigearthnet,linear,micro_mAP,0.5544976327221509,0.5356655120849609,0.5706657767295837,1024,0.13433993325988988,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,43,522295331ae0eab4,-6,4,40,True,200,,,,,,,0.02159872618612162,0.05312464243277561,0.5559185161147007,,,,,15
