dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5804812809286573,0.5716697573661804,0.5906182527542114,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.05208686775969047,0.06894305902288149,0.30556693594706685,,,,,6
benv2,linear,micro_mAP,0.7330744855719061,0.7246417999267578,0.7404106855392456,768,0.0744380301325168,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,19,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.017291377709051103,0.03229714415379261,0.3425699488112801,,,,,15
eurosat-spatial,knn5,accuracy,0.6792592592592592,0.6668426394462585,0.6903796195983887,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,10,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.12840485572814941,0.13993330299854279,0.3384615182876587,,,,,6
eurosat-spatial,linear,accuracy,0.8042592592592592,0.7922222018241882,0.8155602216720581,768,0.13433993325988988,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,10,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.04314732924103737,0.053243447095155716,0.24650345742702484,,,,,15
forestnet,knn5,accuracy,0.32225579053373615,0.2940080463886261,0.35146021842956543,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.3440093398094177,0.3624058663845062,0.459005743265152,,,,,6
forestnet,linear,accuracy,0.48439073514602216,0.4531218409538269,0.5135951638221741,768,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,12,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.059993937611579895,0.07537379115819931,0.16181686520576477,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4103522079122326,0.39529410004615784,0.42894431948661804,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,43,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.04701862085697263,0.06582859154184197,0.3526432999344759,,,,,6
m-bigearthnet,linear,micro_mAP,0.5563398104941019,0.5399259924888611,0.5733698606491089,768,0.13433993325988988,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,43,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.02079128061399557,0.051421474708720695,0.49710789045622183,,,,,15
m-brick-kiln,knn5,accuracy,0.8338338338338338,0.8057807683944702,0.8518518805503845,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.03823902830481529,0.03969540074467659,0.052671074867248535,,,,,6
m-brick-kiln,linear,accuracy,0.9019019019019019,0.883858859539032,0.9209209084510803,768,0.24244620170823258,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,,bilinear,default,rgb,2,584174e16cfd9a23,-6,4,40,True,200,,,,,,,0.01955460011959076,0.0241729486733675,0.07115393877029419,,,,,15
