dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.491819708151154,0.48279353976249695,0.5000503659248352,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,19,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.060063200004055704,0.07850697866984103,0.32009301216978775,,,,,6
benv2,linear,micro_mAP,0.6290409440750858,0.6218258738517761,0.6366662383079529,768,0.04124626382901348,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,19,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.021611083550133595,0.03734902571886778,0.35799203734648855,,,,,15
eurosat-spatial,knn5,accuracy,0.6335185185185185,0.6203657388687134,0.6436018347740173,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,10,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.1587747484445572,0.16568800806999207,0.23239940404891968,,,,,6
eurosat-spatial,linear,accuracy,0.8118518518518518,0.8007360696792603,0.8225972652435303,768,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,10,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.06714429706335068,0.06999089568853378,0.26380449533462524,,,,,15
forestnet,knn5,accuracy,0.337361530715005,0.3090886175632477,0.37059417366981506,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.3218545913696289,0.3394743800163269,0.43706756830215454,,,,,6
forestnet,linear,accuracy,0.4914400805639476,0.4612034261226654,0.5206696391105652,768,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.04785025119781494,0.06180737540125847,0.18875892460346222,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3333266421122093,0.3173789083957672,0.3481830358505249,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,43,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.05626048819096976,0.07588091665922209,0.4082578444896742,,,,,6
m-bigearthnet,linear,micro_mAP,0.4792255269712817,0.46132993698120117,0.4962801933288574,768,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,43,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.02215795547073317,0.05114677483432515,0.5258571110492529,,,,,15
m-brick-kiln,knn5,accuracy,0.8758758758758759,0.8537787795066833,0.8929179310798645,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.034433964639902115,0.03639984503388405,0.042187511920928955,,,,,6
m-brick-kiln,linear,accuracy,0.9069069069069069,0.8898648619651794,0.9219469428062439,768,10000.0,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.017134130001068115,0.025382962077856064,0.07823675870895386,,,,,15
m-eurosat,knn5,accuracy,0.701,0.6710000038146973,0.7240249514579773,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,all,10,1bf99ceed0649a5d,-6,4,40,True,200,,,,,,,0.03180072084069252,0.035130321979522705,0.057142868638038635,,,,,6
m-eurosat,linear,accuracy,0.859,0.8379999995231628,0.8750249743461609,768,8.376776400682907,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,all,10,1bf99ceed0649a5d,-6,4,40,True,200,,,,,,,0.04548084735870361,0.058712419122457504,0.4427229166030884,,,,,15
m-forestnet,knn5,accuracy,0.3403826787512588,0.3091389536857605,0.36961230635643005,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.31943750381469727,0.3391979932785034,0.44406959414482117,,,,,6
m-forestnet,linear,accuracy,0.5015105740181269,0.4682779312133789,0.5287260413169861,768,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.04667513445019722,0.05809898301959038,0.18571148812770844,,,,,15
m-pv4ger,knn5,accuracy,0.9359359359359359,0.9219219088554382,0.9509509801864624,768,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.025425372645258904,0.02734515629708767,0.06428593397140503,,,,,6
m-pv4ger,linear,accuracy,0.9569569569569569,0.9439188838005066,0.9689940214157104,768,0.007017038286703823,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.019288577139377594,0.03420612961053848,0.23222768306732178,,,,,15
m-so2sat,knn5,accuracy,0.2870182555780933,0.26057302951812744,0.31544119119644165,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.30608588457107544,0.33250752091407776,0.5018646121025085,,,,,6
m-so2sat,linear,accuracy,0.4553752535496957,0.42289552092552185,0.4858265817165375,768,160.37187437513276,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.19149917364120483,0.2042674720287323,1.0,,,,,15
so2sat,knn5,accuracy,0.2870182555780933,0.26265212893486023,0.31544119119644165,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.30608588457107544,0.33250752091407776,0.5018646121025085,,,,,6
so2sat,linear,accuracy,0.44523326572008115,0.4168356955051422,0.47872719168663025,768,3070.2906297578375,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.21407842636108398,0.227788046002388,1.0,,,,,15
treesatai,knn5,micro_mAP,0.3864012136188755,0.36777496337890625,0.4003032445907593,768,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,15,9bb49f370f497a34,-6,4,40,True,200,,,,,,,0.07239331863820553,0.0941876990099748,0.5029665470123291,,,,,6
