dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.4702332514447963,0.46081122756004333,0.4811558425426483,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,19,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.06358945642377396,0.08186313583466567,0.3504306768116198,,,,,6
benv2,linear,micro_mAP,0.6194222785892811,0.6120990514755249,0.6282682418823242,768,0.24244620170823258,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,19,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.023262616636010966,0.03917924106415165,0.3765644250731719,,,,,15
eurosat-spatial,knn5,accuracy,0.7359259259259259,0.7249861359596252,0.7491065263748169,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,10,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.07770151644945145,0.08242648839950562,0.16363637149333954,,,,,6
eurosat-spatial,linear,accuracy,0.8242592592592592,0.8135185241699219,0.8342639207839966,768,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,10,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.034832533448934555,0.040646992623806,0.24404506385326385,,,,,15
forestnet,knn5,accuracy,0.34944612286002014,0.32220542430877686,0.3786505460739136,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.3303135931491852,0.34571781754493713,0.45416852831840515,,,,,6
forestnet,linear,accuracy,0.5156092648539778,0.4853726029396057,0.5488670468330383,768,0.007017038286703823,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.05437196418642998,0.06586861610412598,0.10256367921829224,,,,,15
m-bigearthnet,knn5,micro_mAP,0.29822034376446155,0.28264495730400085,0.3125929832458496,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,43,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.05780002336169398,0.07757431225374688,0.4352186155873676,,,,,6
m-bigearthnet,linear,micro_mAP,0.4557593860539775,0.4369070827960968,0.47302162647247314,768,0.0744380301325168,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,43,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.02204679249417643,0.0496620659738086,0.5548123810873475,,,,,15
m-brick-kiln,knn5,accuracy,0.914914914914915,0.898848831653595,0.931956946849823,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.02742723748087883,0.028216548264026642,0.04705941677093506,,,,,6
m-brick-kiln,linear,accuracy,0.938938938938939,0.9238988757133484,0.9510010480880737,768,1701.2542798525858,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,0fa728415c8eb2fe,-6,4,40,True,200,,,,,,,0.027359697967767715,0.043621111661195755,0.19197669625282288,,,,,15
