dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5386867959680128,0.5310354232788086,0.5480010509490967,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,19,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.05593952787794957,0.07484588713238113,0.29990915758045095,,,,,6
benv2,linear,micro_mAP,0.7019546881449912,0.6926657557487488,0.709911048412323,768,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,19,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.019347387727497046,0.034487194871824035,0.33429522498657827,,,,,15
eurosat-spatial,knn5,accuracy,0.6385185185185185,0.6262916326522827,0.6503750085830688,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,10,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.16373814642429352,0.17103169858455658,0.22814762592315674,,,,,6
eurosat-spatial,linear,accuracy,0.732037037037037,0.7205555438995361,0.7444583177566528,768,0.0744380301325168,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,10,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.08259276300668716,0.08629103749990463,0.24947386980056763,,,,,15
forestnet,knn5,accuracy,0.35850956696878145,0.32824772596359253,0.3887965679168701,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.29043442010879517,0.3094812333583832,0.40162786841392517,,,,,6
forestnet,linear,accuracy,0.5025176233635448,0.47029203176498413,0.5317472219467163,768,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,12,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.04828541725873947,0.061695411801338196,0.31036460399627686,,,,,15
m-bigearthnet,knn5,micro_mAP,0.35174222489073004,0.33654436469078064,0.3696320950984955,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.05189304016963687,0.07250556219802347,0.379910733290883,,,,,6
m-bigearthnet,linear,micro_mAP,0.5142165077720248,0.4971393048763275,0.5311319231987,768,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,43,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.021103413450683273,0.04968499656506749,0.567720280137173,,,,,15
m-brick-kiln,knn5,accuracy,0.8528528528528528,0.8338087797164917,0.8738738894462585,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.03163231164216995,0.035867929458618164,0.054546236991882324,,,,,6
m-brick-kiln,linear,accuracy,0.8848848848848849,0.8678428530693054,0.9049049019813538,768,0.022854638641349883,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,bandspec_zscore,,bilinear,default,rgb,2,341aa51aa23b6629,-6,4,40,True,200,,,,,,,0.016539480537176132,0.03905031085014343,0.21970915794372559,,,,,15
