dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5213566831717342,0.5133913159370422,0.5307610630989075,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,19,2b81049238ded982,-6,4,40,True,200,,,,,,,0.05608161073790765,0.07366089816940458,0.34437071022234467,,,,,6
benv2,linear,micro_mAP,0.6821080323570505,0.6752325892448425,0.6905686855316162,768,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,19,2b81049238ded982,-6,4,40,True,200,,,,,,,0.01873347699936283,0.03367581703749142,0.3223750332468434,,,,,15
eurosat-spatial,knn5,accuracy,0.6875925925925926,0.6757407188415527,0.6990879774093628,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,10,2b81049238ded982,-6,4,40,True,200,,,,,,,0.12258987128734589,0.13481082022190094,0.22077953815460205,,,,,6
eurosat-spatial,linear,accuracy,0.845,0.8366619944572449,0.8546342849731445,768,0.24244620170823258,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,10,2b81049238ded982,-6,4,40,True,200,,,,,,,0.026715900748968124,0.031999778002500534,0.19806689023971558,,,,,15
forestnet,knn5,accuracy,0.31419939577039274,0.2859516441822052,0.3403826653957367,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,12,2b81049238ded982,-6,4,40,True,200,,,,,,,0.3554898500442505,0.37376099824905396,0.49635812640190125,,,,,6
forestnet,linear,accuracy,0.44914400805639476,0.4189325273036957,0.4763343334197998,768,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,12,2b81049238ded982,-6,4,40,True,200,,,,,,,0.10196500271558762,0.11948343366384506,0.2555540204048157,,,,,15
m-bigearthnet,knn5,micro_mAP,0.362599463166768,0.34542760252952576,0.38076266646385193,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,43,2b81049238ded982,-6,4,40,True,200,,,,,,,0.04926047625756541,0.06777414813811003,0.3826878277021785,,,,,6
m-bigearthnet,linear,micro_mAP,0.5377956481002432,0.5201143026351929,0.556247353553772,768,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,43,2b81049238ded982,-6,4,40,True,200,,,,,,,0.02153643924569668,0.0498952551116777,0.508194443444873,,,,,15
m-brick-kiln,knn5,accuracy,0.91991991991992,0.9038788676261902,0.9339589476585388,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,2,2b81049238ded982,-6,4,40,True,200,,,,,,,0.024824514985084534,0.033139415085315704,0.06464588642120361,,,,,6
m-brick-kiln,linear,accuracy,0.9579579579579579,0.9469218850135803,0.9679930210113525,768,522.3345074266832,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,224,bilinear,default,rgb,2,2b81049238ded982,-6,4,40,True,200,,,,,,,0.015139605849981308,0.042311012744903564,0.2080671191215515,,,,,15
