dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5034116110581008,0.4836886525154114,0.5229585766792297,768,,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,43,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.03781395431521327,0.05702991285469643,0.30626402518083884,,,,,6
m-bigearthnet,linear,micro_mAP,0.7242052206297328,0.7101511359214783,0.7376037836074829,768,49.238826317067314,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,43,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.018816160146406916,0.050876090216428735,0.47303829394107644,,,,,15
m-brick-kiln,knn5,accuracy,0.8388388388388388,0.8167917728424072,0.8579079508781433,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,2,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.02562623843550682,0.030699875205755234,0.040816307067871094,,,,,6
m-brick-kiln,linear,accuracy,0.9719719719719719,0.9619619846343994,0.9829829931259155,768,49.238826317067314,,,15063,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,2,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.011558124795556068,0.02864275686442852,0.1305553913116455,,,,,15
m-eurosat,knn5,accuracy,0.761,0.7379249930381775,0.7850250005722046,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,10,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.03260011225938797,0.03625120967626572,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.96,0.9479750394821167,0.9710000157356262,768,289.426612471674,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,10,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.008701533079147339,0.029590416699647903,0.18601837754249573,,,,,15
m-forestnet,knn5,accuracy,0.3564954682779456,0.33129405975341797,0.3867069482803345,768,,,,6464,989,993,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,12,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.3160136938095093,0.3436296880245209,0.4811042845249176,,,,,6
m-forestnet,linear,accuracy,0.5287009063444109,0.4984642565250397,0.5630161166191101,768,88.86238162743389,,,6464,989,993,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,12,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.15276046097278595,0.1619754582643509,0.2760223150253296,,,,,15
m-pv4ger,knn5,accuracy,0.918918918918919,0.9048798680305481,0.931956946849823,768,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,2,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.05165163055062294,0.0617222934961319,0.16619670391082764,,,,,6
m-pv4ger,linear,accuracy,0.9519519519519519,0.9389389157295227,0.9639639854431152,768,522.3345074266832,,,11814,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,bandspec_zscore,224,bilinear,default,all,2,53111996e8df91b1,-6,4,40,True,200,,,,,,,0.02714775688946247,0.0650240033864975,0.38661056756973267,,,,,15
