dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5020764901820411,0.4787658154964447,0.5196633338928223,768,,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,43,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.03788838043895572,0.05619211399624514,0.3374835391377294,,,,,6
m-bigearthnet,linear,micro_mAP,0.7159952728221733,0.7020000219345093,0.7295128107070923,768,49.238826317067314,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,43,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.01908913000248546,0.05255365679257138,0.48170800940241926,,,,,15
m-brick-kiln,knn5,accuracy,0.9059059059059059,0.8898898959159851,0.9269269108772278,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.033833619207143784,0.034906696528196335,0.05079442262649536,,,,,6
m-brick-kiln,linear,accuracy,0.978978978978979,0.9689689874649048,0.9869869947433472,768,27.28333376486764,,,15063,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.015206972137093544,0.041815388947725296,0.6451606154441833,,,,,15
m-eurosat,knn5,accuracy,0.805,0.7850000262260437,0.8299999833106995,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,10,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.03400016948580742,0.04456998407840729,0.46666669845581055,,,,,6
m-eurosat,linear,accuracy,0.951,0.9369750022888184,0.9629999995231628,768,5541.020330009481,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,10,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.035863976925611496,0.054107628762722015,0.41800111532211304,,,,,15
m-forestnet,knn5,accuracy,0.39375629405840884,0.36052367091178894,0.4209466278553009,768,,,,6464,989,993,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,12,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.2970808446407318,0.306919664144516,0.3539053201675415,,,,,6
m-forestnet,linear,accuracy,0.5800604229607251,0.5487915277481079,0.6122860312461853,768,8.376776400682907,,,6464,989,993,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,12,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.0421082079410553,0.06711836159229279,0.8022290468215942,,,,,15
m-pv4ger,knn5,accuracy,0.9109109109109109,0.8938688635826111,0.9269269108772278,768,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.04784780740737915,0.07293937355279922,0.2210521101951599,,,,,6
m-pv4ger,linear,accuracy,0.9459459459459459,0.9309309124946594,0.9599850177764893,768,3070.2906297578375,,,11814,999,999,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,c05a930227f0801e,-6,4,40,True,200,,,,,,,0.03720072656869888,0.07887192070484161,0.5225995182991028,,,,,15
m-so2sat,knn5,accuracy,0.23427991886409735,0.2068965584039688,0.2586206793785095,768,,,,19992,986,986,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,rgb,17,1910a5fc7f1abde0,-6,4,40,True,200,,,,,,,0.41095447540283203,0.4456079602241516,0.6441717743873596,,,,,6
m-so2sat,linear,accuracy,0.5111561866125761,0.4776369035243988,0.5405932664871216,768,522.3345074266832,,,19992,986,986,1,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,rgb,17,1910a5fc7f1abde0,-6,4,40,True,200,,,,,,,0.08411041647195816,0.09252099692821503,0.15769028663635254,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5020764901820411,0.48235437273979187,0.5186436772346497,768,,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,43,8062be20bb4643b3,-6,4,40,True,200,,,,,,,0.03788838043895572,0.05619211399624514,0.3374835391377294,,,,,6
m-bigearthnet,linear,micro_mAP,0.7160813887720326,0.7010519504547119,0.7311140894889832,768,49.238826317067314,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,43,8062be20bb4643b3,-6,4,40,True,200,,,,,,,0.018636248193594607,0.05133991471903269,0.48147109566732893,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5020764901820411,0.4839896559715271,0.5202102065086365,768,,,,20000,1000,1000,3,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,43,d95931643a173ec0,-6,4,40,True,200,,,,,,,0.03788838043895572,0.05619211399624514,0.3374835391377294,,,,,6
m-bigearthnet,linear,micro_mAP,0.7160220665861369,0.7032609581947327,0.7272480130195618,768,49.238826317067314,,,20000,1000,1000,3,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,43,d95931643a173ec0,-6,4,40,True,200,,,,,,,0.018672528817469992,0.051654594842084615,0.4936738963737044,,,,,15
m-brick-kiln,knn5,accuracy,0.9059059059059059,0.8848598599433899,0.920945942401886,768,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,8062be20bb4643b3,-6,4,40,True,200,,,,,,,0.033833619207143784,0.034906696528196335,0.05079442262649536,,,,,6
m-brick-kiln,linear,accuracy,0.978978978978979,0.9699199199676514,0.9879879951477051,768,49.238826317067314,,,15063,999,999,2,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,8062be20bb4643b3,-6,4,40,True,200,,,,,,,0.01259518414735794,0.03038077801465988,0.2610095143318176,,,,,15
m-eurosat,knn5,accuracy,0.805,0.777999997138977,0.828000009059906,768,,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,10,8062be20bb4643b3,-6,4,40,True,200,,,,,,,0.03400016948580742,0.04456998407840729,0.46666669845581055,,,,,6
m-eurosat,linear,accuracy,0.946,0.9319750070571899,0.9580000042915344,768,49.238826317067314,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,10,8062be20bb4643b3,-6,4,40,True,200,,,,,,,0.02268788032233715,0.04444870725274086,0.3730446398258209,,,,,15
m-brick-kiln,knn5,accuracy,0.9059059059059059,0.8878628611564636,0.9239489436149597,768,,,,15063,999,999,3,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,d95931643a173ec0,-6,4,40,True,200,,,,,,,0.033833619207143784,0.034906696528196335,0.05079442262649536,,,,,6
m-brick-kiln,linear,accuracy,0.978978978978979,0.9679429531097412,0.9870120286941528,768,27.28333376486764,,,15063,999,999,3,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,2,d95931643a173ec0,-6,4,40,True,200,,,,,,,0.014588705264031887,0.037101756781339645,0.4902329444885254,,,,,15
m-eurosat,knn5,accuracy,0.805,0.781000018119812,0.8289999961853027,768,,,,2000,1000,1000,3,torchgeo_bench.models.TerraTorchClayBench,tt_clay_v1_5_base,model_native,,bilinear,default,all,10,d95931643a173ec0,-6,4,40,True,200,,,,,,,0.03400016948580742,0.04456998407840729,0.46666669845581055,,,,,6
