dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5503404598532381,0.5348795652389526,0.5689737796783447,768,,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,43,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.03337208595300137,0.05138962876138299,0.2754946096345436,,,,,6
m-bigearthnet,linear,micro_mAP,0.6462164239459184,0.6300694942474365,0.6632318496704102,768,15.117750706156599,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,43,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.018854591659768376,0.04615526113572509,0.40909350646096604,,,,,15
m-brick-kiln,knn5,accuracy,0.8708708708708709,0.8497997522354126,0.8918918967247009,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,2,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.024023419246077538,0.024374067783355713,0.03122180700302124,,,,,6
m-brick-kiln,linear,accuracy,0.9209209209209209,0.905880868434906,0.9369369149208069,768,2.5719138090593416,,,15063,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,2,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.022074788808822632,0.041818488389253616,0.2097468078136444,,,,,15
m-eurosat,knn5,accuracy,0.801,0.775950014591217,0.8240249752998352,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,10,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.03439992293715477,0.036759521812200546,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.872,0.8529750108718872,0.8930249810218811,768,49.238826317067314,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,10,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.044605426490306854,0.062281183898448944,0.4152894616127014,,,,,15
m-forestnet,knn5,accuracy,0.3474320241691843,0.317119836807251,0.37565457820892334,768,,,,6464,989,993,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,12,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.33796700835227966,0.36400139331817627,0.5144509077072144,,,,,6
m-forestnet,linear,accuracy,0.49244712990936557,0.4621601402759552,0.5256797671318054,768,1.4251026703029963,,,6464,989,993,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,12,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.05175698921084404,0.06546878069639206,0.21369944512844086,,,,,15
m-pv4ger,knn5,accuracy,0.9119119119119119,0.890890896320343,0.9279279112815857,768,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,2,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.04684680327773094,0.053000111132860184,0.12926781177520752,,,,,6
m-pv4ger,linear,accuracy,0.93993993993994,0.9238988757133484,0.9519519805908203,768,5541.020330009481,,,11814,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,2,3548a6b4b3b8d2d6,-6,4,40,True,200,,,,,,,0.034617919474840164,0.07892024517059326,0.5187997221946716,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5503404598532381,0.532612144947052,0.5665845274925232,768,,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,43,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.03337208595300137,0.05138962876138299,0.2754946096345436,,,,,6
m-bigearthnet,linear,micro_mAP,0.6459395317309758,0.6299050450325012,0.6610405445098877,768,15.117750706156599,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,43,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.019968488372775706,0.049608996917688566,0.46167840236841245,,,,,15
m-so2sat,knn5,accuracy,0.20081135902636918,0.17847362160682678,0.22621703147888184,768,,,,19992,986,986,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,rgb,17,3f68e8fcacec24e7,-6,4,40,True,200,,,,,,,0.39614707231521606,0.4314044713973999,0.6355931758880615,,,,,6
m-so2sat,linear,accuracy,0.37322515212981744,0.34277382493019104,0.40164807438850403,768,2.5719138090593416,,,19992,986,986,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,rgb,17,3f68e8fcacec24e7,-6,4,40,True,200,,,,,,,0.09645019471645355,0.11093790829181671,0.24949240684509277,,,,,15
m-brick-kiln,knn5,accuracy,0.8708708708708709,0.8478478193283081,0.8889139294624329,768,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,2,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.024023419246077538,0.024374067783355713,0.03122180700302124,,,,,6
m-brick-kiln,linear,accuracy,0.918918918918919,0.9007757902145386,0.9339589476585388,768,4.641588833612772,,,15063,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,2,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.018576456233859062,0.03748089075088501,0.11796832084655762,,,,,15
treesatai,knn5,micro_mAP,0.37309328906373074,0.35871803760528564,0.3888409435749054,768,,,,4000,1000,2000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,rgb,15,3f68e8fcacec24e7,-6,4,40,True,200,,,,,,,0.07597330256054799,0.09883887544274331,0.49392968118190766,,,,,6
treesatai,linear,micro_mAP,0.5577790542889592,0.5416750311851501,0.5714226365089417,768,15.117750706156599,,,4000,1000,2000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,rgb,15,3f68e8fcacec24e7,-6,4,40,True,200,,,,,,,0.025718590749117236,0.042058611086880165,0.42376523514588677,,,,,15
m-eurosat,knn5,accuracy,0.801,0.7759750485420227,0.8240249752998352,768,,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,10,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.03439992293715477,0.036759521812200546,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.872,0.8529750108718872,0.8920249938964844,768,49.238826317067314,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,10,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.04109438136219978,0.054036833345890045,0.2909671366214752,,,,,15
m-forestnet,knn5,accuracy,0.3464249748237664,0.32223060727119446,0.37467271089553833,768,,,,6464,989,993,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,12,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.33877265453338623,0.3645467460155487,0.5144509077072144,,,,,6
m-forestnet,linear,accuracy,0.49244712990936557,0.4541540741920471,0.5246978402137756,768,1.4251026703029963,,,6464,989,993,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,12,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.05120459198951721,0.060857608914375305,0.09676122665405273,,,,,15
m-pv4ger,knn5,accuracy,0.9119119119119119,0.8958708643913269,0.9289539456367493,768,,,,11814,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,bandspec_zscore,,bilinear,default,all,2,d87760f1c8e0eddd,-6,4,40,True,200,,,,,,,0.04684680327773094,0.053000111132860184,0.12926781177520752,,,,,6
