dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5615313191062559,0.5468198657035828,0.5775746703147888,768,,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,43,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.03240930542977916,0.049054651607780955,0.28664701587932057,,,,,6
m-bigearthnet,linear,micro_mAP,0.6381806289367579,0.6214351058006287,0.6560090184211731,768,27.28333376486764,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,43,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.01977937631742206,0.04983590101433355,0.4931104120820068,,,,,15
m-brick-kiln,knn5,accuracy,0.8638638638638638,0.8428177833557129,0.8849599957466125,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,2,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.029429199174046516,0.032120998948812485,0.04489612579345703,,,,,6
m-brick-kiln,linear,accuracy,0.9119119119119119,0.8928678631782532,0.9299299120903015,768,88.86238162743389,,,15063,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,2,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.018594056367874146,0.03385202959179878,0.11747220158576965,,,,,15
m-eurosat,knn5,accuracy,0.737,0.7080000042915344,0.7650249600410461,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,10,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.03900028020143509,0.046946343034505844,0.09014135599136353,,,,,6
m-eurosat,linear,accuracy,0.826,0.8029249906539917,0.8519999980926514,768,10000.0,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,10,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.07826590538024902,0.08682490140199661,0.3251226246356964,,,,,15
m-forestnet,knn5,accuracy,0.3031218529707956,0.27288520336151123,0.33031219244003296,768,,,,6464,989,993,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,12,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.3911392390727997,0.4055490791797638,0.49204355478286743,,,,,6
m-forestnet,linear,accuracy,0.45417925478348437,0.42494964599609375,0.4854229688644409,768,27.28333376486764,,,6464,989,993,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,12,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.10999661684036255,0.1289251446723938,0.22974002361297607,,,,,15
m-pv4ger,knn5,accuracy,0.9039039039039038,0.8868368268013,0.9209209084510803,768,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,2,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.04984986409544945,0.05544453486800194,0.11578947305679321,,,,,6
m-pv4ger,linear,accuracy,0.9419419419419419,0.9269269108772278,0.954954981803894,768,522.3345074266832,,,11814,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,2,34265faabb8b1ffb,-6,4,40,True,200,,,,,,,0.031011762097477913,0.07523374259471893,0.44699233770370483,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5615313191062559,0.5434126853942871,0.57655930519104,768,,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,43,48eaf23b524ed776,-6,4,40,True,200,,,,,,,0.03240930542977916,0.049054651607780955,0.28664701587932057,,,,,6
m-bigearthnet,linear,micro_mAP,0.6398831435599543,0.6225116848945618,0.6556688547134399,768,8.376776400682907,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,43,48eaf23b524ed776,-6,4,40,True,200,,,,,,,0.019616573464212028,0.049394844099879265,0.47688086122967477,,,,,15
m-brick-kiln,knn5,accuracy,0.8638638638638638,0.837837815284729,0.8809059262275696,768,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v1_100,model_native,,bilinear,default,all,2,48eaf23b524ed776,-6,4,40,True,200,,,,,,,0.029429199174046516,0.032120998948812485,0.04489612579345703,,,,,6
