dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6152222275873355,0.605509877204895,0.6237936615943909,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,rgb,19,74e030738d9f452d,-6,4,40,True,200,,,,,,,0.04768160111148303,0.06370053871681816,0.2835438863227242,,,,,6
benv2,linear,micro_mAP,0.7777229667019718,0.7716270685195923,0.7845215201377869,768,10000.0,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,rgb,19,74e030738d9f452d,-6,4,40,True,200,,,,,,,0.01628016650762507,0.03170121338610586,0.2715471731989007,,,,,15
eurosat-spatial,knn5,accuracy,0.745,0.7336990833282471,0.7553796172142029,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,10,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.11585085093975067,0.12950164079666138,0.2047792673110962,,,,,6
eurosat-spatial,linear,accuracy,0.9246296296296296,0.9174027442932129,0.9327777624130249,768,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,10,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.026263676583766937,0.04242720454931259,0.3084123432636261,,,,,15
forestnet,knn5,accuracy,0.32124874118831825,0.2879405915737152,0.34645015001296997,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,12,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.34139126539230347,0.3639782667160034,0.46805164217948914,,,,,6
forestnet,linear,accuracy,0.527693856998993,0.49645015597343445,0.5589627623558044,768,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,12,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.037398502230644226,0.05133100226521492,0.18464744091033936,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5421321235219534,0.5259717702865601,0.5579841136932373,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,43,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.0338092967434678,0.050074086199666176,0.25465351395135705,,,,,6
m-bigearthnet,linear,micro_mAP,0.6916362171374874,0.6757063865661621,0.7059994339942932,768,8.376776400682907,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,43,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.01936359188064586,0.05327049495522366,0.4956357513749322,,,,,15
m-brick-kiln,knn5,accuracy,0.8908908908908909,0.8718468546867371,0.9059309363365173,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,2,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.03663618117570877,0.040084417909383774,0.06407606601715088,,,,,6
m-brick-kiln,linear,accuracy,0.943943943943944,0.9299048781394958,0.9579579830169678,768,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,bandspec_zscore,224,bilinear,default,all,2,6917048392d5c2cd,-6,4,40,True,200,,,,,,,0.02343524992465973,0.04613882675766945,0.177545964717865,,,,,15
