dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6277036351947687,0.6186580657958984,0.636098325252533,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,rgb,19,aab845a609ba96fc,-6,4,40,True,200,,,,,,,0.044971058427013065,0.0603075547045783,0.2729035039481364,,,,,6
benv2,linear,micro_mAP,0.7582582770715635,0.7508811950683594,0.7661085724830627,768,49.238826317067314,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,rgb,19,aab845a609ba96fc,-6,4,40,True,200,,,,,,,0.01791151749325524,0.03155106727622057,0.2549926120983927,,,,,15
eurosat-spatial,knn5,accuracy,0.7714814814814814,0.7603379487991333,0.7822360992431641,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,10,49b964631cc32706,-6,4,40,True,200,,,,,,,0.10744385421276093,0.11509127914905548,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9261111111111111,0.9190648198127747,0.9340787529945374,768,3070.2906297578375,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,10,49b964631cc32706,-6,4,40,True,200,,,,,,,0.05380022153258324,0.08593370020389557,0.38373667001724243,,,,,15
forestnet,knn5,accuracy,0.37462235649546827,0.34539273381233215,0.4109013080596924,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,12,49b964631cc32706,-6,4,40,True,200,,,,,,,0.308158278465271,0.32021984457969666,0.4042571187019348,,,,,6
forestnet,linear,accuracy,0.5599194360523666,0.5287008881568909,0.5942094922065735,768,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,12,49b964631cc32706,-6,4,40,True,200,,,,,,,0.03953978046774864,0.05290583521127701,0.18693672120571136,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5503713299054371,0.5334334373474121,0.5686258673667908,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,43,49b964631cc32706,-6,4,40,True,200,,,,,,,0.03559534914445046,0.05485322824571022,0.30162922414236293,,,,,6
m-bigearthnet,linear,micro_mAP,0.6966231326367466,0.6828973889350891,0.7109594345092773,768,160.37187437513276,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,43,49b964631cc32706,-6,4,40,True,200,,,,,,,0.019039043182030667,0.050389881137498586,0.47546234103136287,,,,,15
m-brick-kiln,knn5,accuracy,0.8938938938938938,0.8718468546867371,0.9129379391670227,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,2,49b964631cc32706,-6,4,40,True,200,,,,,,,0.022021781653165817,0.02227078750729561,0.024427473545074463,,,,,6
m-brick-kiln,linear,accuracy,0.9519519519519519,0.9389389157295227,0.962988018989563,768,289.426612471674,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,224,bilinear,default,all,2,49b964631cc32706,-6,4,40,True,200,,,,,,,0.019640900194644928,0.05243171378970146,0.1829376220703125,,,,,15
