dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6179582366574483,0.6079518795013428,0.6265482306480408,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,19,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.04534468799216771,0.06107561804942394,0.272410781367829,,,,,6
benv2,linear,micro_mAP,0.7372226174506565,0.7297999262809753,0.7454062700271606,768,3070.2906297578375,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,19,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.017689903945306708,0.030744324879426705,0.2516028010531476,,,,,15
eurosat-spatial,knn5,accuracy,0.7988888888888889,0.7877777814865112,0.8103981614112854,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,10,44e894d965286cac,-6,4,40,True,200,,,,,,,0.07844380289316177,0.08291828632354736,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9331481481481482,0.9269861578941345,0.9399999976158142,768,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,10,44e894d965286cac,-6,4,40,True,200,,,,,,,0.02315344102680683,0.03677160292863846,0.32538649439811707,,,,,15
forestnet,knn5,accuracy,0.3776435045317221,0.3474068343639374,0.4048338234424591,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,12,44e894d965286cac,-6,4,40,True,200,,,,,,,0.30433183908462524,0.3144233524799347,0.4055795967578888,,,,,6
forestnet,linear,accuracy,0.5558912386706949,0.5225830674171448,0.5871348977088928,768,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,12,44e894d965286cac,-6,4,40,True,200,,,,,,,0.04455653950572014,0.049362663179636,0.1744341105222702,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5507219036731186,0.5345004200935364,0.5672327280044556,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,43,44e894d965286cac,-6,4,40,True,200,,,,,,,0.034148837418057194,0.05175240467800651,0.29613694635241533,,,,,6
m-bigearthnet,linear,micro_mAP,0.6702820207169583,0.6554111838340759,0.6849433183670044,768,4.641588833612772,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,43,44e894d965286cac,-6,4,40,True,200,,,,,,,0.01973536559705471,0.0523156592579082,0.4779132015483324,,,,,15
m-brick-kiln,knn5,accuracy,0.8838838838838838,0.8648398518562317,0.9029780030250549,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,2,44e894d965286cac,-6,4,40,True,200,,,,,,,0.029629357159137726,0.029972422868013382,0.039054155349731445,,,,,6
m-brick-kiln,linear,accuracy,0.9319319319319319,0.9148398041725159,0.9449449181556702,768,160.37187437513276,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,2,44e894d965286cac,-6,4,40,True,200,,,,,,,0.01439707912504673,0.03153391182422638,0.22857952117919922,,,,,15
m-eurosat,knn5,accuracy,0.803,0.7779750227928162,0.8290249705314636,768,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,10,44e894d965286cac,-6,4,40,True,200,,,,,,,0.04079953208565712,0.055981770157814026,0.800000011920929,,,,,6
m-eurosat,linear,accuracy,0.898,0.878000020980835,0.9150500297546387,768,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,10,44e894d965286cac,-6,4,40,True,200,,,,,,,0.016082948073744774,0.04543603956699371,0.6936979293823242,,,,,15
m-forestnet,knn5,accuracy,0.3856998992950655,0.36052367091178894,0.4189577102661133,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,12,44e894d965286cac,-6,4,40,True,200,,,,,,,0.3059428036212921,0.3191283047199249,0.41538652777671814,,,,,6
m-forestnet,linear,accuracy,0.5448136958710977,0.5186052322387695,0.5740432739257812,768,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,12,44e894d965286cac,-6,4,40,True,200,,,,,,,0.08285646140575409,0.09739198535680771,0.2095932960510254,,,,,15
m-pv4ger,knn5,accuracy,0.9119119119119119,0.8928678631782532,0.9319319128990173,768,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,2,44e894d965286cac,-6,4,40,True,200,,,,,,,0.045845877379179,0.05042637139558792,0.102752685546875,,,,,6
m-pv4ger,linear,accuracy,0.950950950950951,0.9379379153251648,0.9659910202026367,768,2.5719138090593416,,,11814,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,all,2,44e894d965286cac,-6,4,40,True,200,,,,,,,0.01914050057530403,0.03380787745118141,0.13437271118164062,,,,,15
m-so2sat,knn5,accuracy,0.26369168356997974,0.23628295958042145,0.2920892536640167,768,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,17,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.29066982865333557,0.3074037432670593,0.4594212472438812,,,,,6
m-so2sat,linear,accuracy,0.4249492900608519,0.39041581749916077,0.4523580074310303,768,0.022854638641349883,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,17,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.03744225949048996,0.056990381330251694,0.23424452543258667,,,,,15
so2sat,knn5,accuracy,0.26369168356997974,0.2372971475124359,0.29011157155036926,768,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,17,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.29046696424484253,0.3074205219745636,0.46423447132110596,,,,,6
so2sat,linear,accuracy,0.4381338742393509,0.40768253803253174,0.46866124868392944,768,0.0744380301325168,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,17,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.03163167089223862,0.03712964057922363,0.1299208104610443,,,,,15
treesatai,knn5,micro_mAP,0.3799991811543385,0.364711731672287,0.39549174904823303,768,,,,4000,1000,2000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,15,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.07466661694149176,0.09730811802049479,0.4393632630507151,,,,,6
treesatai,linear,micro_mAP,0.5854651180238801,0.569329559803009,0.5989441871643066,768,8.376776400682907,,,4000,1000,2000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_100_tl,model_native,,bilinear,default,rgb,15,57c3ec1d0fbdd3b9,-6,4,40,True,200,,,,,,,0.025656016430972765,0.04261822064096729,0.3463428477446238,,,,,15
