dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5436750385074298,0.5241453647613525,0.5608518719673157,1024,,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,43,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.03353953149256318,0.05127125374193108,0.250633233854937,,,,,6
m-bigearthnet,linear,micro_mAP,0.6814344704018876,0.6646498441696167,0.6954083442687988,1024,7.912342618981326,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,43,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.020882582768451338,0.05464635052999785,0.46433776755665623,,,,,15
m-brick-kiln,knn5,accuracy,0.8828828828828829,0.8658408522605896,0.9039289355278015,1024,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.030029602348804474,0.030482660979032516,0.03358781337738037,,,,,6
m-brick-kiln,linear,accuracy,0.9619619619619619,0.9478978514671326,0.9729729890823364,1024,3.35292414924956,,,15063,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.017572982236742973,0.04299098253250122,0.2813267111778259,,,,,15
m-eurosat,knn5,accuracy,0.809,0.7870000004768372,0.8350499868392944,1024,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,10,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.025000082328915596,0.03044080175459385,0.30000001192092896,,,,,6
m-eurosat,linear,accuracy,0.942,0.9259750247001648,0.955049991607666,1024,11689.518164985777,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,10,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.05105799064040184,0.09576736390590668,0.560215950012207,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5436750385074298,0.526666522026062,0.5599624514579773,1024,,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,43,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.03353953149256318,0.05127125374193108,0.250633233854937,,,,,6
m-bigearthnet,linear,micro_mAP,0.683757559185221,0.6688547134399414,0.6985457539558411,1024,3.35292414924956,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,43,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.018904161292972954,0.05148061390879542,0.45611500601435817,,,,,15
m-forestnet,knn5,accuracy,0.338368580060423,0.3111530542373657,0.3726082444190979,1024,,,,6464,989,993,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,12,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.32084739208221436,0.344992071390152,0.43596670031547546,,,,,6
m-forestnet,linear,accuracy,0.5216515609264853,0.48940080404281616,0.5529204607009888,1024,0.04581597669054491,,,6464,989,993,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,12,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.05738729238510132,0.07926241308450699,0.15601855516433716,,,,,15
m-pv4ger,knn5,accuracy,0.9049049049049049,0.8868618607521057,0.9189439415931702,1024,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.051451440900564194,0.06862834841012955,0.1586955189704895,,,,,6
m-pv4ger,linear,accuracy,0.95995995995996,0.9479479193687439,0.9719719886779785,1024,7609.496685459868,,,11814,999,999,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,2bbc55c63ce97d29,-6,5,60,True,200,,,,,,,0.02475001849234104,0.04820415750145912,0.23922938108444214,,,,,15
m-brick-kiln,knn5,accuracy,0.8828828828828829,0.8618118166923523,0.9009509682655334,1024,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.030029602348804474,0.030482660979032516,0.03358781337738037,,,,,6
m-brick-kiln,linear,accuracy,0.958958958958959,0.9459459185600281,0.9699699878692627,1024,12.15474250076286,,,15063,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.010159590281546116,0.027978114783763885,0.15506744384765625,,,,,15
m-eurosat,knn5,accuracy,0.809,0.7829750180244446,0.8320249915122986,1024,,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,10,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.025000082328915596,0.03044080175459385,0.30000001192092896,,,,,6
m-eurosat,linear,accuracy,0.949,0.9340000152587891,0.9610000252723694,1024,579.0443980602495,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,10,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.03340638056397438,0.059440795332193375,0.5335894227027893,,,,,15
m-so2sat,knn5,accuracy,0.2363083164300203,0.21191683411598206,0.26072514057159424,1024,,,,19992,986,986,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,rgb,17,f574d54c4428f424,-6,5,60,True,200,,,,,,,0.41237443685531616,0.44045767188072205,0.6617647409439087,,,,,6
m-so2sat,linear,accuracy,0.552738336713996,0.5212728381156921,0.582200825214386,1024,65096.752304581634,,,19992,986,986,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,rgb,17,f574d54c4428f424,-6,5,60,True,200,,,,,,,0.1875688135623932,0.19148381054401398,0.25028514862060547,,,,,15
m-forestnet,knn5,accuracy,0.338368580060423,0.30614301562309265,0.3626132905483246,1024,,,,6464,989,993,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,12,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.32084739208221436,0.344992071390152,0.43596670031547546,,,,,6
m-forestnet,linear,accuracy,0.5307150050352467,0.49544310569763184,0.5599949359893799,1024,0.07038135554931561,,,6464,989,993,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,12,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.05939339101314545,0.07378699630498886,0.14787733554840088,,,,,15
treesatai,knn5,micro_mAP,0.36216719984753165,0.3479049801826477,0.37645789980888367,1024,,,,4000,1000,2000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,rgb,15,f574d54c4428f424,-6,5,60,True,200,,,,,,,0.07819995159904163,0.10006376517315706,0.5105555931727092,,,,,6
treesatai,linear,micro_mAP,0.5788025169353823,0.5641751289367676,0.592862606048584,1024,2.182644728397487,,,4000,1000,2000,1,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,rgb,15,f574d54c4428f424,-6,5,60,True,200,,,,,,,0.02634185492255104,0.04298548148944974,0.3772958735624949,,,,,15
m-pv4ger,knn5,accuracy,0.9049049049049049,0.8868618607521057,0.9219219088554382,1024,,,,11814,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.051451440900564194,0.06862834841012955,0.1586955189704895,,,,,6
m-pv4ger,linear,accuracy,0.958958958958959,0.9459459185600281,0.9699950218200684,1024,4953.53520895918,,,11814,999,999,2,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,2,529c9f05bc334a0f,-6,5,60,True,200,,,,,,,0.029645197093486786,0.05117566138505936,0.24178022146224976,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5436750385074298,0.5231643915176392,0.5605013966560364,1024,,,,20000,1000,1000,3,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300,bandspec_zscore,224,bilinear,default,all,43,565401563e5d546a,-6,5,60,True,200,,,,,,,0.03353953149256318,0.05127125374193108,0.250633233854937,,,,,6
