dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.61162526132414,0.6012313365936279,0.6204085350036621,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,rgb,19,058a14e7eead71c6,-6,5,60,True,200,,,,,,,0.04587893177583618,0.06120773105833091,0.28398863030107396,,,,,6
benv2,linear,micro_mAP,0.7516030554022334,0.7446647882461548,0.7588096857070923,1024,3.35292414924956,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,rgb,19,058a14e7eead71c6,-6,5,60,True,200,,,,,,,0.016301902634471555,0.031026260608709173,0.2488591839608393,,,,,15
eurosat-spatial,knn5,accuracy,0.7711111111111111,0.7599861025810242,0.7818610668182373,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,10,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.09685085713863373,0.10863371938467026,0.6000000238418579,,,,,6
eurosat-spatial,linear,accuracy,0.9285185185185185,0.921625018119812,0.9355602264404297,1024,1.4208308325339238,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,10,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.021011050790548325,0.03446813300251961,0.19406366348266602,,,,,15
forestnet,knn5,accuracy,0.32124874118831825,0.2950150966644287,0.3485397696495056,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,12,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.34803760051727295,0.3664312958717346,0.46666857600212097,,,,,6
forestnet,linear,accuracy,0.5357502517623364,0.5034995079040527,0.5710221529006958,1024,0.9249147277217336,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,12,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.07382607460021973,0.09408219903707504,0.8165366649627686,,,,,15
m-bigearthnet,knn5,micro_mAP,0.54005670557728,0.5213380455970764,0.5572843551635742,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,43,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.03509303042665124,0.05193125850759273,0.25891916072645854,,,,,6
m-bigearthnet,linear,micro_mAP,0.6566326558428277,0.6410830616950989,0.6730284094810486,1024,2.182644728397487,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,43,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.020069578900759995,0.05169707233476084,0.4467894296313441,,,,,15
m-brick-kiln,knn5,accuracy,0.8828828828828829,0.8628628849983215,0.8998998999595642,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,2,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.031231055036187172,0.03196728602051735,0.03522104024887085,,,,,6
m-brick-kiln,linear,accuracy,0.9219219219219219,0.9048798680305481,0.935935914516449,1024,0.25514065200312874,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,2,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.012278642505407333,0.018886210396885872,0.07695519924163818,,,,,15
m-eurosat,knn5,accuracy,0.838,0.8149750232696533,0.8610000014305115,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_300_tl,bandspec_zscore,,bilinear,default,all,10,6366e26ad47310ed,-6,5,60,True,200,,,,,,,0.032399579882621765,0.03913385421037674,0.20000000298023224,,,,,6
