dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6275236735546763,0.618014931678772,0.6373697519302368,1280,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,19,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.04523420159852034,0.06043027189413184,0.3236562037154248,,,,,6
benv2,linear,micro_mAP,0.7734051105497726,0.7662217617034912,0.7812029719352722,1280,1366.4483492953243,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,19,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.01745513780042529,0.03280382464321232,0.3050503280124088,,,,,15
eurosat-spatial,knn5,accuracy,0.7616666666666667,0.7524027824401855,0.7724213004112244,1280,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,10,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.1074439138174057,0.11669354885816574,0.800000011920929,,,,,6
eurosat-spatial,linear,accuracy,0.9424074074074074,0.9355555772781372,0.9490833282470703,1280,889.5134973108254,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,10,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.035004280507564545,0.054449934512376785,0.21834546327590942,,,,,15
forestnet,knn5,accuracy,0.3806646525679758,0.34841388463974,0.4108761250972748,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,12,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.2980879843235016,0.31079810857772827,0.38214489817619324,,,,,6
forestnet,linear,accuracy,0.553877139979859,0.523640513420105,0.5831570625305176,1280,0.16608827826277167,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,12,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.05327147990465164,0.06518252193927765,0.1480911523103714,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5448987198751685,0.5256785750389099,0.5618003010749817,1280,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,43,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.03457674626694169,0.052316500826977023,0.2836457740428836,,,,,6
m-bigearthnet,linear,micro_mAP,0.7102515352023964,0.697729766368866,0.7241805791854858,1280,889.5134973108254,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,43,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.020324436969362026,0.05243615113025488,0.46621559179106425,,,,,15
m-brick-kiln,knn5,accuracy,0.9039039039039038,0.883858859539032,0.9219469428062439,1280,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,2,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.029228903353214264,0.029306506738066673,0.030555546283721924,,,,,6
m-brick-kiln,linear,accuracy,0.9529529529529529,0.9409409165382385,0.9649649858474731,1280,27585.316176291868,,,15063,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,2,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.017231561243534088,0.03703989461064339,0.16155648231506348,,,,,15
m-eurosat,knn5,accuracy,0.804,0.7759750485420227,0.8300749659538269,1280,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,10,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.02420017123222351,0.027888579294085503,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.939,0.9229750037193298,0.953000009059906,1280,103.9798418481492,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,10,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.028419552370905876,0.05386270582675934,0.338887095451355,,,,,15
m-forestnet,knn5,accuracy,0.3434038267875126,0.3162134885787964,0.37059417366981506,1280,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,12,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.31097811460494995,0.3282323479652405,0.4294871687889099,,,,,6
m-forestnet,linear,accuracy,0.5367573011077543,0.5085599422454834,0.5670191645622253,1280,1.4208308325339238,,,6464,989,993,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,12,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.034927546977996826,0.045520007610321045,0.19904443621635437,,,,,15
m-pv4ger,knn5,accuracy,0.9169169169169169,0.9009009003639221,0.935935914516449,1280,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,2,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.04164165258407593,0.04966772720217705,0.1263159215450287,,,,,6
m-pv4ger,linear,accuracy,0.9629629629629629,0.9529529809951782,0.9759759902954102,1280,67.68750009458542,,,11814,999,999,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,all,2,fe2acd57e07880e4,-6,5,60,True,200,,,,,,,0.02362685836851597,0.05180398374795914,0.47365981340408325,,,,,15
m-so2sat,knn5,accuracy,0.2738336713995943,0.24442189931869507,0.30329614877700806,1280,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,17,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.35699909925460815,0.3786730170249939,0.5513242483139038,,,,,6
m-so2sat,linear,accuracy,0.5831643002028397,0.551673412322998,0.6146298050880432,1280,67.68750009458542,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,17,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.07705572992563248,0.08487514406442642,0.16289293766021729,,,,,15
so2sat,knn5,accuracy,0.2738336713995943,0.24439653754234314,0.3032454252243042,1280,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,17,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.35699909925460815,0.3786730170249939,0.5513242483139038,,,,,6
so2sat,linear,accuracy,0.5872210953346856,0.5608265995979309,0.619751513004303,1280,27585.316176291868,,,19992,986,986,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,17,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.05530182644724846,0.06896354258060455,0.3084874153137207,,,,,15
treesatai,knn5,micro_mAP,0.3876670417632986,0.3720206618309021,0.40085896849632263,1280,,,,4000,1000,2000,0,torchgeo_bench.models.TerraTorchPrithviBench,tt_prithvi_eo_v2_600,model_native,224,bilinear,default,rgb,15,d39654dc2d04e7fa,-6,5,60,True,200,,,,,,,0.07496668087939422,0.09675169264276823,0.5083086282014847,,,,,6
