dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.6149590212902991,0.6000118255615234,0.6312699317932129,768,,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,43,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.028841857181125603,0.04774663610340551,0.2502209888987763,,,,,6
m-bigearthnet,linear,micro_mAP,0.7400957154610587,0.7285088300704956,0.7521842122077942,768,1.4251026703029963,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,43,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.019046657588766065,0.05115340398841126,0.4346420234718988,,,,,15
m-brick-kiln,knn5,accuracy,0.8808808808808809,0.861836850643158,0.8998998999595642,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.027227003127336502,0.02989855781197548,0.05168640613555908,,,,,6
m-brick-kiln,linear,accuracy,0.9569569569569569,0.9448948502540588,0.9679679870605469,768,1701.2542798525858,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.019542714580893517,0.04061393067240715,0.20004191994667053,,,,,15
m-eurosat,knn5,accuracy,0.855,0.8339250087738037,0.8799999952316284,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.0215999074280262,0.0256111491471529,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.953,0.9399999976158142,0.9649999737739563,768,2.5719138090593416,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.011309807188808918,0.03636082634329796,0.4574318826198578,,,,,15
m-forestnet,knn5,accuracy,0.3403826787512588,0.3111530542373657,0.36762338876724243,768,,,,6464,989,993,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,12,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.33816856145858765,0.35239332914352417,0.4626524746417999,,,,,6
m-forestnet,linear,accuracy,0.5146022155085599,0.48330816626548767,0.5468277931213379,768,0.022854638641349883,,,6464,989,993,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,12,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.07254502177238464,0.08401114493608475,0.15801715850830078,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6149590212902991,0.5969237685203552,0.6299061179161072,768,,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,43,8a6e97ba208158d2,-6,4,40,True,200,,,,,,,0.028841857181125603,0.04774663610340551,0.2502209888987763,,,,,6
m-bigearthnet,linear,micro_mAP,0.7403066546602579,0.7265609502792358,0.7508797645568848,768,1.4251026703029963,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,43,8a6e97ba208158d2,-6,4,40,True,200,,,,,,,0.0188833630838713,0.05126068247265594,0.4326159794663274,,,,,15
m-pv4ger,knn5,accuracy,0.9179179179179179,0.8998498320579529,0.9349349141120911,768,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.03843843191862106,0.03966961055994034,0.044898033142089844,,,,,6
m-pv4ger,linear,accuracy,0.9469469469469469,0.9338838458061218,0.9579579830169678,768,49.238826317067314,,,11814,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.03445129841566086,0.06776547431945801,0.5231616497039795,,,,,15
m-brick-kiln,knn5,accuracy,0.8808808808808809,0.8578328490257263,0.898923933506012,768,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,8a6e97ba208158d2,-6,4,40,True,200,,,,,,,0.027227003127336502,0.02989855781197548,0.05168640613555908,,,,,6
m-brick-kiln,linear,accuracy,0.958958958958959,0.9429429173469543,0.9699950218200684,768,49.238826317067314,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,8a6e97ba208158d2,-6,4,40,True,200,,,,,,,0.014913338236510754,0.0333525612950325,0.18388739228248596,,,,,15
m-eurosat,knn5,accuracy,0.855,0.8339750170707703,0.8740000128746033,768,,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,8a6e97ba208158d2,-6,4,40,True,200,,,,,,,0.0215999074280262,0.0256111491471529,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.954,0.9419749975204468,0.9640499949455261,768,27.28333376486764,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,8a6e97ba208158d2,-6,4,40,True,200,,,,,,,0.02390521578490734,0.04383862763643265,0.5815145373344421,,,,,15
m-so2sat,knn5,accuracy,0.385395537525355,0.35595840215682983,0.41894015669822693,768,,,,19992,986,986,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,17,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.31703951954841614,0.3338926136493683,0.44977131485939026,,,,,6
m-so2sat,linear,accuracy,0.7413793103448276,0.7159990072250366,0.7688133716583252,768,0.437547937507418,,,19992,986,986,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,17,5dcd872d8ae0c122,-6,4,40,True,200,,,,,,,0.061886463314294815,0.07987726479768753,0.19687014818191528,,,,,15
