dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-brick-kiln,knn5,accuracy,0.8488488488488488,0.8248248100280762,0.8699199557304382,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,2,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.03183255344629288,0.03451744094491005,0.04291045665740967,,,,,6
m-brick-kiln,linear,accuracy,0.943943943943944,0.9289038777351379,0.9569569826126099,768,0.24244620170823258,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,2,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.018386879935860634,0.0345754511654377,0.12546879053115845,,,,,15
m-eurosat,knn5,accuracy,0.816,0.7929999828338623,0.8389999866485596,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,10,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.03819990158081055,0.044354282319545746,0.30000001192092896,,,,,6
m-eurosat,linear,accuracy,0.955,0.9419749975204468,0.9660249948501587,768,1701.2542798525858,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,10,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.03566717356443405,0.05214342847466469,0.25068557262420654,,,,,15
m-pv4ger,knn5,accuracy,0.9069069069069069,0.8878878951072693,0.9219469428062439,768,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,2,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.04944945126771927,0.05867717042565346,0.12542381882667542,,,,,6
m-pv4ger,linear,accuracy,0.9529529529529529,0.939914882183075,0.9639639854431152,768,522.3345074266832,,,11814,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,2,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.03086906671524048,0.04898689314723015,0.5260697603225708,,,,,15
m-so2sat,knn5,accuracy,0.4026369168356998,0.37520283460617065,0.4341278076171875,768,,,,19992,986,986,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,17,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.2574046850204468,0.26578986644744873,0.34298816323280334,,,,,6
m-so2sat,linear,accuracy,0.6288032454361054,0.6034229397773743,0.6602433919906616,768,0.04124626382901348,,,19992,986,986,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,17,25b7436e4721cd94,-6,4,40,True,200,,,,,,,0.04652772098779678,0.06039712205529213,0.22800683975219727,,,,,15
m-brick-kiln,knn5,accuracy,0.8488488488488488,0.8278027772903442,0.8688939213752747,768,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,2,3c7449b80c446ed7,-6,4,40,True,200,,,,,,,0.03183255344629288,0.03451744094491005,0.04291045665740967,,,,,6
m-brick-kiln,linear,accuracy,0.9409409409409409,0.924924910068512,0.954954981803894,768,0.13433993325988988,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,,bilinear,default,all,2,3c7449b80c446ed7,-6,4,40,True,200,,,,,,,0.02502669207751751,0.04297138378024101,0.11372080445289612,,,,,15
