dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.6571428810946032,0.6431349515914917,0.670824408531189,768,,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,43,59a0330cc2418440,-6,4,40,True,200,,,,,,,0.025879065343720274,0.045667940447496815,0.25673616833465046,,,,,6
m-bigearthnet,linear,micro_mAP,0.7691414282423451,0.7575384974479675,0.7802234888076782,768,0.7896522868499717,,,20000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,43,59a0330cc2418440,-6,4,40,True,200,,,,,,,0.018085502748659183,0.051756494093772976,0.45800071053726726,,,,,15
m-brick-kiln,knn5,accuracy,0.9309309309309309,0.9149149060249329,0.9469719529151917,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,2,59a0330cc2418440,-6,4,40,True,200,,,,,,,0.02882865071296692,0.03349248692393303,0.060604751110076904,,,,,6
m-brick-kiln,linear,accuracy,0.9669669669669669,0.9569319486618042,0.9789789915084839,768,2.5719138090593416,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,2,59a0330cc2418440,-6,4,40,True,200,,,,,,,0.010215707123279572,0.03734205663204193,0.2657998204231262,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6571428810946032,0.6420039534568787,0.6726851463317871,768,,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,43,bf25cd5e871d6448,-6,4,40,True,200,,,,,,,0.025879065343720274,0.045667940447496815,0.25673616833465046,,,,,6
m-bigearthnet,linear,micro_mAP,0.7682957006587536,0.7544779181480408,0.7810891270637512,768,0.7896522868499717,,,20000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,43,bf25cd5e871d6448,-6,4,40,True,200,,,,,,,0.018271363058755565,0.051473573716573934,0.4562166263890821,,,,,15
m-eurosat,knn5,accuracy,0.875,0.8549750447273254,0.8949999809265137,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,10,59a0330cc2418440,-6,4,40,True,200,,,,,,,0.032399848103523254,0.03497212752699852,0.13333334028720856,,,,,6
m-eurosat,linear,accuracy,0.954,0.94097501039505,0.9670000076293945,768,522.3345074266832,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,10,59a0330cc2418440,-6,4,40,True,200,,,,,,,0.03412581980228424,0.06181240454316139,0.44576117396354675,,,,,15
m-brick-kiln,knn5,accuracy,0.9309309309309309,0.916891872882843,0.9449449181556702,768,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,2,bf25cd5e871d6448,-6,4,40,True,200,,,,,,,0.02882865071296692,0.03349248692393303,0.060604751110076904,,,,,6
m-brick-kiln,linear,accuracy,0.965965965965966,0.9549299478530884,0.9759759902954102,768,2.5719138090593416,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,2,bf25cd5e871d6448,-6,4,40,True,200,,,,,,,0.00856380071491003,0.0273288507014513,0.23147723078727722,,,,,15
