dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-brick-kiln,knn5,accuracy,0.8928928928928929,0.875825822353363,0.9119369387626648,768,,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,b07b08621225833f,-6,4,40,True,200,,,,,,,0.019619345664978027,0.02026314288377762,0.031579792499542236,,,,,6
m-brick-kiln,linear,accuracy,0.9409409409409409,0.9259259104728699,0.9549800157546997,768,27.28333376486764,,,15063,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,b07b08621225833f,-6,4,40,True,200,,,,,,,0.02348163351416588,0.03922652453184128,0.13506823778152466,,,,,15
m-eurosat,knn5,accuracy,0.821,0.7979750037193298,0.8440749645233154,768,,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,b07b08621225833f,-6,4,40,True,200,,,,,,,0.03619984909892082,0.04152274131774902,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.92,0.9029750227928162,0.9369999766349792,768,0.437547937507418,,,2000,1000,1000,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,b07b08621225833f,-6,4,40,True,200,,,,,,,0.029624972492456436,0.05185961723327637,0.3233577609062195,,,,,15
m-pv4ger,knn5,accuracy,0.8968968968968969,0.8798548579216003,0.9139389395713806,768,,,,11814,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,b07b08621225833f,-6,4,40,True,200,,,,,,,0.04784775152802467,0.05904706194996834,0.16046476364135742,,,,,6
m-pv4ger,linear,accuracy,0.9409409409409409,0.9269018769264221,0.9549800157546997,768,1.4251026703029963,,,11814,999,999,1,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,b07b08621225833f,-6,4,40,True,200,,,,,,,0.025593308731913567,0.053603895008563995,0.26811450719833374,,,,,15
m-brick-kiln,knn5,accuracy,0.8928928928928929,0.872847855091095,0.9109609723091125,768,,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,17286fa76593700b,-6,4,40,True,200,,,,,,,0.019619345664978027,0.02026314288377762,0.031579792499542236,,,,,6
m-brick-kiln,linear,accuracy,0.9419419419419419,0.9269269108772278,0.954954981803894,768,1.4251026703029963,,,15063,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,17286fa76593700b,-6,4,40,True,200,,,,,,,0.01728394627571106,0.041177090257406235,0.22904226183891296,,,,,15
m-eurosat,knn5,accuracy,0.821,0.7959750294685364,0.8450250029563904,768,,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,17286fa76593700b,-6,4,40,True,200,,,,,,,0.03619984909892082,0.04152274131774902,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.92,0.9019250273704529,0.9380000233650208,768,0.437547937507418,,,2000,1000,1000,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,17286fa76593700b,-6,4,40,True,200,,,,,,,0.02872723527252674,0.052374135702848434,0.3244580030441284,,,,,15
m-pv4ger,knn5,accuracy,0.8968968968968969,0.8818568587303162,0.9159159064292908,768,,,,11814,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,17286fa76593700b,-6,4,40,True,200,,,,,,,0.04784775152802467,0.05904706194996834,0.16046476364135742,,,,,6
m-pv4ger,linear,accuracy,0.9409409409409409,0.9269269108772278,0.9549800157546997,768,0.13433993325988988,,,11814,999,999,2,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,17286fa76593700b,-6,4,40,True,200,,,,,,,0.023788360878825188,0.055170293897390366,0.3063913881778717,,,,,15
m-brick-kiln,knn5,accuracy,0.8928928928928929,0.8738488554954529,0.9079079031944275,768,,,,15063,999,999,3,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,982cf2ddc19138d6,-6,4,40,True,200,,,,,,,0.019619345664978027,0.02026314288377762,0.031579792499542236,,,,,6
m-brick-kiln,linear,accuracy,0.9419419419419419,0.9269269108772278,0.955955982208252,768,88.86238162743389,,,15063,999,999,3,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,982cf2ddc19138d6,-6,4,40,True,200,,,,,,,0.020461399108171463,0.03634854033589363,0.13931506872177124,,,,,15
m-eurosat,knn5,accuracy,0.821,0.7939000129699707,0.8430249691009521,768,,,,2000,1000,1000,3,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,982cf2ddc19138d6,-6,4,40,True,200,,,,,,,0.03619984909892082,0.04152274131774902,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.928,0.9139999747276306,0.9470000267028809,768,0.7896522868499717,,,2000,1000,1000,3,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,982cf2ddc19138d6,-6,4,40,True,200,,,,,,,0.0234625693410635,0.05758427456021309,0.6358336210250854,,,,,15
m-pv4ger,knn5,accuracy,0.8968968968968969,0.8788538575172424,0.9129379391670227,768,,,,11814,999,999,3,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,982cf2ddc19138d6,-6,4,40,True,200,,,,,,,0.04784775152802467,0.05904706194996834,0.16046476364135742,,,,,6
m-pv4ger,linear,accuracy,0.9409409409409409,0.9259259104728699,0.9549800157546997,768,0.13433993325988988,,,11814,999,999,3,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,982cf2ddc19138d6,-6,4,40,True,200,,,,,,,0.023632271215319633,0.05500670149922371,0.2757583558559418,,,,,15
m-brick-kiln,knn5,accuracy,0.8928928928928929,0.8748748898506165,0.9099099040031433,768,,,,15063,999,999,4,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,8e47f92f3fab095e,-6,4,40,True,200,,,,,,,0.019619345664978027,0.02026314288377762,0.031579792499542236,,,,,6
m-brick-kiln,linear,accuracy,0.9419419419419419,0.9289038777351379,0.9569569826126099,768,27.28333376486764,,,15063,999,999,4,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,8e47f92f3fab095e,-6,4,40,True,200,,,,,,,0.019042519852519035,0.03315199911594391,0.19129011034965515,,,,,15
m-eurosat,knn5,accuracy,0.821,0.7999750375747681,0.8460000157356262,768,,,,2000,1000,1000,4,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,8e47f92f3fab095e,-6,4,40,True,200,,,,,,,0.03619984909892082,0.04152274131774902,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.92,0.9049999713897705,0.93402498960495,768,0.437547937507418,,,2000,1000,1000,4,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,8e47f92f3fab095e,-6,4,40,True,200,,,,,,,0.030164562165737152,0.051055293530225754,0.18292281031608582,,,,,15
m-pv4ger,knn5,accuracy,0.8968968968968969,0.8778528571128845,0.9149149060249329,768,,,,11814,999,999,4,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,8e47f92f3fab095e,-6,4,40,True,200,,,,,,,0.04784775152802467,0.05904706194996834,0.16046476364135742,,,,,6
m-pv4ger,linear,accuracy,0.938938938938939,0.9219219088554382,0.9539539813995361,768,1.4251026703029963,,,11814,999,999,4,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,8e47f92f3fab095e,-6,4,40,True,200,,,,,,,0.024870064109563828,0.054693590849637985,0.37734174728393555,,,,,15
eurosat-spatial,knn5,accuracy,0.9316666666666666,0.9244444370269775,0.9388935565948486,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.029185662046074867,0.037726905196905136,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9687037037037037,0.9638796448707581,0.9729722142219543,768,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.0045098066329956055,0.012968958355486393,0.05880701541900635,,,,,15
m-brick-kiln,knn5,accuracy,0.8928928928928929,0.8718468546867371,0.9109109044075012,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.019619379192590714,0.02035447768867016,0.03225892782211304,,,,,6
m-brick-kiln,linear,accuracy,0.9469469469469469,0.9329329133033752,0.9579830169677734,768,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.013113251887261868,0.032466452568769455,0.14459228515625,,,,,15
m-eurosat,knn5,accuracy,0.819,0.794950008392334,0.8460000157356262,768,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.03339986875653267,0.039141006767749786,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.92,0.9009750485420227,0.9350000023841858,768,0.437547937507418,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,10,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.027241602540016174,0.04939613118767738,0.3223435580730438,,,,,15
m-pv4ger,knn5,accuracy,0.8958958958958959,0.8768518567085266,0.91696697473526,768,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.04864855110645294,0.05911180004477501,0.15632152557373047,,,,,6
m-pv4ger,linear,accuracy,0.9369369369369369,0.9208958745002747,0.9509760141372681,768,27.28333376486764,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,,bilinear,default,all,2,f9b5528626e4d0b3,-6,4,40,True,200,,,,,,,0.038826797157526016,0.0807354599237442,0.5780584216117859,,,,,15
