dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7032117935706006,0.6947411298751831,0.7097408771514893,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,19,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.036242208210751414,0.049922723911310495,0.23661801846403824,,,,,6
benv2,linear,micro_mAP,0.82386584824069,0.8174139857292175,0.8298861384391785,768,0.24244620170823258,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,19,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.013610862169451522,0.029480752535164356,0.24760059816272637,,,,,15
eurosat-spatial,knn5,accuracy,0.8461111111111111,0.8370092511177063,0.855379581451416,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,10,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.03840681537985802,0.044804081320762634,0.46666669845581055,,,,,6
eurosat-spatial,linear,accuracy,0.94,0.9325833320617676,0.9463009238243103,768,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,10,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.013021119870245457,0.031087208539247513,0.30863988399505615,,,,,15
forestnet,knn5,accuracy,0.3766364551863041,0.3413897156715393,0.40788015723228455,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,12,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.30795690417289734,0.3239302635192871,0.43052396178245544,,,,,6
forestnet,linear,accuracy,0.5579053373615307,0.52457195520401,0.5911379456520081,768,0.022854638641349883,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,12,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.07329898327589035,0.08811687678098679,0.15302687883377075,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6164815869805764,0.6021693348884583,0.6333009600639343,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,43,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.029395349128821562,0.04824927033380021,0.2402694221845893,,,,,6
m-bigearthnet,linear,micro_mAP,0.7168924963242407,0.7034347653388977,0.732304036617279,768,0.437547937507418,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,43,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.019170678567227928,0.05135851682618607,0.46210472355055254,,,,,15
m-brick-kiln,knn5,accuracy,0.9179179179179179,0.9008257985115051,0.9349599480628967,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,2,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.03843826428055763,0.047732532024383545,0.0956529974937439,,,,,6
m-brick-kiln,linear,accuracy,0.964964964964965,0.9539289474487305,0.9759759902954102,768,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,2,d0f09b7a2cdb4955,-6,4,40,True,200,,,,,,,0.012159532867372036,0.02580890618264675,0.1821235716342926,,,,,15
