dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.8737037037037036,0.8635046482086182,0.882777750492096,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,10,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.03211172670125961,0.03533021733164787,0.09300598502159119,,,,,6
eurosat-spatial,linear,accuracy,0.9425925925925925,0.9366620182991028,0.9490787386894226,768,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,10,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.012614522129297256,0.029890360310673714,0.34449875354766846,,,,,15
m-brick-kiln,knn5,accuracy,0.8488488488488488,0.8268017768859863,0.8658909201622009,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,2,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.02001950517296791,0.02534910850226879,0.04435175657272339,,,,,6
m-brick-kiln,linear,accuracy,0.934934934934935,0.9189189076423645,0.9499749541282654,768,0.022854638641349883,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,2,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.032314784824848175,0.05225967988371849,0.17133134603500366,,,,,15
m-eurosat,knn5,accuracy,0.887,0.8659499883651733,0.9049999713897705,768,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,10,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.05899982899427414,0.07579910010099411,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.955,0.943975031375885,0.9679999947547913,768,0.7896522868499717,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,10,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.008368846960365772,0.039488889276981354,0.6770161390304565,,,,,15
m-pv4ger,knn5,accuracy,0.9379379379379379,0.9259259104728699,0.9539539813995361,768,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,2,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.03163165971636772,0.03263705223798752,0.04444420337677002,,,,,6
m-pv4ger,linear,accuracy,0.953953953953954,0.9419168829917908,0.9679930210113525,768,0.7896522868499717,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,2,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.020807452499866486,0.03732149675488472,0.2003629207611084,,,,,15
m-so2sat,knn5,accuracy,0.35192697768762676,0.3255324363708496,0.3793357014656067,768,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,17,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.19918861985206604,0.21684688329696655,0.40344882011413574,,,,,6
m-so2sat,linear,accuracy,0.5496957403651116,0.5160496830940247,0.5791582465171814,768,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,,bilinear,default,rgb,17,97d13c4ff8b1ed58,-6,4,40,True,200,,,,,,,0.05608918517827988,0.07034961879253387,0.20719480514526367,,,,,15
