dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7064844450213748,0.6975479125976562,0.7138585448265076,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,19,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.03693167457209998,0.05099713111198262,0.2274441724937213,,,,,6
benv2,linear,micro_mAP,0.8289847170358133,0.8233188986778259,0.834615170955658,768,0.24244620170823258,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,19,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.013536765432754214,0.029113862148829196,0.23721077450011907,,,,,15
eurosat-spatial,knn5,accuracy,0.8716666666666667,0.8625879287719727,0.8805879950523376,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,10,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.02733280509710312,0.02957128919661045,0.30000001192092896,,,,,6
eurosat-spatial,linear,accuracy,0.942037037037037,0.9351713061332703,0.948337972164154,768,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,10,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.020283618941903114,0.033749137073755264,0.20283883810043335,,,,,15
forestnet,knn5,accuracy,0.3756294058408862,0.3423715829849243,0.40080565214157104,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,12,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.3139992952346802,0.3252941966056824,0.39499998092651367,,,,,6
forestnet,linear,accuracy,0.5357502517623364,0.504531741142273,0.5680009722709656,768,0.04124626382901348,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,12,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.05047828331589699,0.0588739849627018,0.2128830850124359,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6210230339414151,0.6073773503303528,0.6378002166748047,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,43,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.028455805444959983,0.04801396834988927,0.26318697458089785,,,,,6
m-bigearthnet,linear,micro_mAP,0.728943258003121,0.7156978249549866,0.7431210875511169,768,0.437547937507418,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,43,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.01853389916724937,0.0515435749968124,0.475341540436412,,,,,15
m-brick-kiln,knn5,accuracy,0.9259259259259259,0.9088838696479797,0.9389639496803284,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,2,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.031231079250574112,0.03572941571474075,0.06874871253967285,,,,,6
m-brick-kiln,linear,accuracy,0.968968968968969,0.9599349498748779,0.9790290594100952,768,1.4251026703029963,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,2,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.006168486550450325,0.03254752978682518,0.26776427030563354,,,,,15
m-eurosat,knn5,accuracy,0.878,0.8579750061035156,0.9010000228881836,768,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,10,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.03219987452030182,0.03677767142653465,0.06558990478515625,,,,,6
m-eurosat,linear,accuracy,0.948,0.9339750409126282,0.9620000123977661,768,0.7896522868499717,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,10,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.022858981043100357,0.051274415105581284,0.3671821355819702,,,,,15
m-forestnet,knn5,accuracy,0.391742195367573,0.3645266890525818,0.41492950916290283,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,12,21f9d2cbe5097dae,-6,4,40,True,200,,,,,,,0.30332452058792114,0.3198374807834625,0.41923269629478455,,,,,6
