dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.8855555555555555,0.8761110901832581,0.8937036991119385,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,10,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.03481431305408478,0.04076553136110306,0.46666669845581055,,,,,6
eurosat-spatial,linear,accuracy,0.9629629629629629,0.9574074149131775,0.9685231447219849,1024,65096.75230458164,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,10,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.033453568816185,0.08170264959335327,0.4050062894821167,,,,,15
m-brick-kiln,knn5,accuracy,0.8798798798798799,0.8608108162879944,0.8960460424423218,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,2,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.022222038358449936,0.024426551535725594,0.03567904233932495,,,,,6
m-brick-kiln,linear,accuracy,0.943943943943944,0.9299299120903015,0.9569569826126099,1024,1.4208308325339238,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,2,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.01900206133723259,0.04011128097772598,0.22860977053642273,,,,,15
m-eurosat,knn5,accuracy,0.899,0.8799999952316284,0.9160500168800354,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,10,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.04079974815249443,0.059427596628665924,0.15172433853149414,,,,,6
m-eurosat,linear,accuracy,0.963,0.9509999752044678,0.9739999771118164,1024,159.73122800602525,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,10,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.025517623871564865,0.04983174055814743,0.49301600456237793,,,,,15
m-pv4ger,knn5,accuracy,0.91991991991992,0.9048548340797424,0.9369619488716125,1024,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,2,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.03783782199025154,0.03893310949206352,0.06436753273010254,,,,,6
m-pv4ger,linear,accuracy,0.9569569569569569,0.9439439177513123,0.9699699878692627,1024,3.35292414924956,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,2,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.019022664055228233,0.03304541856050491,0.16466361284255981,,,,,15
m-so2sat,knn5,accuracy,0.4178498985801217,0.3904665410518646,0.4482758641242981,1024,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,17,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.2486826479434967,0.26201552152633667,0.3186740577220917,,,,,6
m-so2sat,linear,accuracy,0.6501014198782962,0.6186612844467163,0.6785243153572083,1024,0.07038135554931561,,,19992,986,986,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,17,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.05827312171459198,0.07496925443410873,0.8297749757766724,,,,,15
so2sat,knn5,accuracy,0.4178498985801217,0.38539552688598633,0.453346848487854,1024,,,,19992,986,986,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,17,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.2486826479434967,0.26201552152633667,0.3186740577220917,,,,,6
so2sat,linear,accuracy,0.6419878296146044,0.6074543595314026,0.6703854203224182,1024,0.16608827826277167,,,19992,986,986,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,17,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.09674564003944397,0.11195103824138641,0.8289245367050171,,,,,15
treesatai,knn5,micro_mAP,0.46436164906466704,0.44864168763160706,0.48048415780067444,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,15,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.0644799791276455,0.08499050016204517,0.4110667814811071,,,,,6
treesatai,linear,micro_mAP,0.6467959855099366,0.6340436935424805,0.6630119681358337,1024,0.10811807510766078,,,4000,1000,2000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,bandspec_zscore,,bilinear,default,all,15,5b3e7e3cf768d71f,-6,5,60,True,200,,,,,,,0.02121151206859698,0.037545918859541415,0.319092055161794,,,,,15
