dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.9257407407407408,0.9190740585327148,0.9324073791503906,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,10,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.01929595321416855,0.02436058595776558,0.13846179842948914,,,,,6
eurosat-spatial,linear,accuracy,0.9757407407407407,0.9718518257141113,0.979629635810852,1024,2.182644728397487,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,10,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.0036232206039130688,0.021802224218845367,0.3743138313293457,,,,,15
forestnet,knn5,accuracy,0.3726082578046324,0.3403574824333191,0.4048590064048767,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,12,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.3291049897670746,0.3463108539581299,0.45172616839408875,,,,,6
forestnet,linear,accuracy,0.5568982880161127,0.5266616344451904,0.5872607827186584,1024,0.16608827826277167,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,12,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.032406967133283615,0.045771244913339615,0.17447970807552338,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6602256464100253,0.6467790007591248,0.6755216717720032,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,43,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.025906970515998818,0.046066760583672414,0.24752381097438725,,,,,6
m-bigearthnet,linear,micro_mAP,0.7840032642324181,0.772282063961029,0.7951017022132874,1024,0.6020894493336125,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,43,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.017185479749080745,0.05001973339118237,0.42953514151794964,,,,,15
m-brick-kiln,knn5,accuracy,0.9229229229229229,0.9048798680305481,0.9399399161338806,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,2,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.029829658567905426,0.03734690323472023,0.07640308141708374,,,,,6
m-brick-kiln,linear,accuracy,0.9679679679679679,0.9579329490661621,0.9769769906997681,1024,2.182644728397487,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,2,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.00854236539453268,0.02735917642712593,0.21197837591171265,,,,,15
m-eurosat,knn5,accuracy,0.921,0.9019750356674194,0.9370749592781067,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,10,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.016799818724393845,0.023184744641184807,0.057142019271850586,,,,,6
m-eurosat,linear,accuracy,0.969,0.9589250087738037,0.9789999723434448,1024,245.37511066398167,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,10,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.022708935663104057,0.045755017548799515,0.5534365177154541,,,,,15
m-forestnet,knn5,accuracy,0.40986908358509566,0.3816465139389038,0.44108760356903076,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,12,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.30070608854293823,0.32400548458099365,0.4765819013118744,,,,,6
m-forestnet,linear,accuracy,0.5780463242698892,0.5467522740364075,0.6113041043281555,1024,0.25514065200312874,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,12,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.05550934746861458,0.06561539322137833,0.1994858831167221,,,,,15
m-pv4ger,knn5,accuracy,0.9159159159159159,0.8968718647956848,0.931956946849823,1024,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,2,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.03763766214251518,0.047639522701501846,0.12352961301803589,,,,,6
m-pv4ger,linear,accuracy,0.943943943943944,0.9309058785438538,0.9579579830169678,1024,67.68750009458542,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large,model_native,224,bilinear,default,all,2,7bd0901f2210f521,-6,5,60,True,200,,,,,,,0.03656608983874321,0.06322388350963593,0.31312334537506104,,,,,15
