dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5826732456374543,0.5653778314590454,0.6004925966262817,1024,,,,20000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,43,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.030260464837124874,0.04885139387794012,0.29095394077689146,,,,,6
m-bigearthnet,linear,micro_mAP,0.7087960114900369,0.6956409811973572,0.7225285172462463,1024,0.7896522868499717,,,20000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,43,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.01824099649566897,0.05067591468781926,0.45861242468966995,,,,,15
m-brick-kiln,knn5,accuracy,0.8968968968968969,0.8788538575172424,0.9139389395713806,1024,,,,15063,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,2,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.030430112034082413,0.036066096276044846,0.075497567653656,,,,,6
m-brick-kiln,linear,accuracy,0.9579579579579579,0.9449198842048645,0.9709709882736206,1024,0.24244620170823258,,,15063,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,2,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.01739569567143917,0.04607560113072395,0.2118162214756012,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5826732456374543,0.5640615820884705,0.59989333152771,1024,,,,20000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,43,6ce67b7cb1b2cc01,-6,4,40,True,200,,,,,,,0.030260464837124874,0.04885139387794012,0.29095394077689146,,,,,6
m-bigearthnet,linear,micro_mAP,0.7090542078308366,0.6946998238563538,0.7230634689331055,1024,0.7896522868499717,,,20000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,43,6ce67b7cb1b2cc01,-6,4,40,True,200,,,,,,,0.018000604985498412,0.05030932701950849,0.464916268753451,,,,,15
m-eurosat,knn5,accuracy,0.926,0.9100000262260437,0.939050018787384,1024,,,,2000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,10,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.033999815583229065,0.06317830085754395,0.800000011920929,,,,,6
m-eurosat,linear,accuracy,0.964,0.953000009059906,0.9740249514579773,1024,2.5719138090593416,,,2000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,10,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.008794578723609447,0.034950464963912964,0.3988194465637207,,,,,15
m-forestnet,knn5,accuracy,0.35347432024169184,0.32930514216423035,0.381696879863739,1024,,,,6464,989,993,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,12,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.3480374813079834,0.3642866611480713,0.48750191926956177,,,,,6
m-forestnet,linear,accuracy,0.5609264853977844,0.5376636385917664,0.5981873273849487,1024,0.24244620170823258,,,6464,989,993,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,12,efaf4bafffd3d2fb,-6,4,40,True,200,,,,,,,0.04992545023560524,0.05873994156718254,0.21314255893230438,,,,,15
m-brick-kiln,knn5,accuracy,0.8968968968968969,0.8758508563041687,0.9139639735221863,1024,,,,15063,999,999,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,2,6ce67b7cb1b2cc01,-6,4,40,True,200,,,,,,,0.030430112034082413,0.036066096276044846,0.075497567653656,,,,,6
m-brick-kiln,linear,accuracy,0.9569569569569569,0.9419168829917908,0.9709960222244263,1024,0.24244620170823258,,,15063,999,999,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,2,6ce67b7cb1b2cc01,-6,4,40,True,200,,,,,,,0.019383151084184647,0.05168924108147621,0.23723438382148743,,,,,15
m-eurosat,knn5,accuracy,0.926,0.9089750051498413,0.9419999718666077,1024,,,,2000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,10,6ce67b7cb1b2cc01,-6,4,40,True,200,,,,,,,0.033999815583229065,0.06317830085754395,0.800000011920929,,,,,6
m-eurosat,linear,accuracy,0.964,0.9509999752044678,0.9750249981880188,1024,2.5719138090593416,,,2000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,10,6ce67b7cb1b2cc01,-6,4,40,True,200,,,,,,,0.0097741037607193,0.04211413487792015,0.42003828287124634,,,,,15
