dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5663141655682193,0.551727294921875,0.5827716588973999,1024,,,,20000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,43,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.03180000209791023,0.04812488999477653,0.2213272526860237,,,,,6
m-bigearthnet,linear,micro_mAP,0.7009894072865737,0.6865419149398804,0.7142056226730347,1024,0.7896522868499717,,,20000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,43,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.01862740227519426,0.05052357253640197,0.4761663980262224,,,,,15
m-brick-kiln,knn5,accuracy,0.8898898898898899,0.8698448538780212,0.9069319367408752,1024,,,,15063,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,2,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.05085057392716408,0.05704212933778763,0.10053575038909912,,,,,6
m-brick-kiln,linear,accuracy,0.958958958958959,0.9459208846092224,0.9709709882736206,1024,0.24244620170823258,,,15063,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,2,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.020843200385570526,0.039403412491083145,0.12421703338623047,,,,,15
m-eurosat,knn5,accuracy,0.925,0.9099500179290771,0.9420499801635742,1024,,,,2000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,10,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.03759977966547012,0.05763858184218407,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.944,0.9299750328063965,0.9570249915122986,1024,0.437547937507418,,,2000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,10,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.02160339057445526,0.04176769778132439,0.2882089912891388,,,,,15
m-forestnet,knn5,accuracy,0.3544813695871098,0.3262336254119873,0.38572508096694946,1024,,,,6464,989,993,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,12,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.34521788358688354,0.3570476472377777,0.5008946061134338,,,,,6
m-forestnet,linear,accuracy,0.5367573011077543,0.507477343082428,0.5709969997406006,1024,0.24244620170823258,,,6464,989,993,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,12,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.04595499113202095,0.057449884712696075,0.19073016941547394,,,,,15
m-pv4ger,knn5,accuracy,0.963963963963964,0.9519269466400146,0.9750000238418579,1024,,,,11814,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,2,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.016216181218624115,0.01641046814620495,0.028571605682373047,,,,,6
m-pv4ger,linear,accuracy,0.973973973973974,0.9629379510879517,0.9829829931259155,1024,0.437547937507418,,,11814,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,2,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.015196498483419418,0.049867838621139526,0.43962782621383667,,,,,15
m-so2sat,knn5,accuracy,0.39858012170385393,0.3671399652957916,0.43004563450813293,1024,,,,19992,986,986,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,17,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.17586231231689453,0.18033677339553833,0.2429906725883484,,,,,6
m-so2sat,linear,accuracy,0.6085192697768763,0.5821247696876526,0.6409989595413208,1024,0.022854638641349883,,,19992,986,986,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,17,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.09597155451774597,0.10729638487100601,0.17189455032348633,,,,,15
treesatai,knn5,micro_mAP,0.4638396272116549,0.4499085247516632,0.47744372487068176,1024,,,,4000,1000,2000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,15,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.06373328634848198,0.08337386945883433,0.42490467230478923,,,,,6
treesatai,linear,micro_mAP,0.6630011207991132,0.649013340473175,0.675957202911377,1024,0.437547937507418,,,4000,1000,2000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,15,f436ec38fa634c35,-6,4,40,True,200,,,,,,,0.022054965669910113,0.037090290275712805,0.23590287069479624,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5663141655682193,0.5460751056671143,0.5830556750297546,1024,,,,20000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,43,babd3e755275ceb5,-6,4,40,True,200,,,,,,,0.03180000209791023,0.04812488999477653,0.2213272526860237,,,,,6
m-bigearthnet,linear,micro_mAP,0.7008116226494773,0.6869506239891052,0.7170607447624207,1024,0.7896522868499717,,,20000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,43,babd3e755275ceb5,-6,4,40,True,200,,,,,,,0.018841061307940374,0.05174751588424971,0.5021739252084909,,,,,15
m-brick-kiln,knn5,accuracy,0.8898898898898899,0.8718218207359314,0.9119119048118591,1024,,,,15063,999,999,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,2,babd3e755275ceb5,-6,4,40,True,200,,,,,,,0.05085057392716408,0.05704212933778763,0.10053575038909912,,,,,6
m-brick-kiln,linear,accuracy,0.9669669669669669,0.954954981803894,0.9789789915084839,1024,2.5719138090593416,,,15063,999,999,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,2,babd3e755275ceb5,-6,4,40,True,200,,,,,,,0.013439939357340336,0.045216675847768784,0.48397427797317505,,,,,15
m-eurosat,knn5,accuracy,0.925,0.9079750180244446,0.9409999847412109,1024,,,,2000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,10,babd3e755275ceb5,-6,4,40,True,200,,,,,,,0.03759977966547012,0.05763858184218407,0.20000000298023224,,,,,6
