dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-brick-kiln,knn5,accuracy,0.8638638638638638,0.8408408164978027,0.8819069266319275,1024,,,,15063,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,2,76dd3a08aa6cb1e0,-6,4,40,True,200,,,,,,,0.028828192502260208,0.028975147753953934,0.033331453800201416,,,,,6
m-brick-kiln,linear,accuracy,0.9259259259259259,0.909859836101532,0.9419419169425964,1024,0.13433993325988988,,,15063,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,2,76dd3a08aa6cb1e0,-6,4,40,True,200,,,,,,,0.01805543154478073,0.053979188203811646,0.3595532178878784,,,,,15
m-eurosat,knn5,accuracy,0.781,0.7569750547409058,0.8070249557495117,1024,,,,2000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,10,76dd3a08aa6cb1e0,-6,4,40,True,200,,,,,,,0.03939984738826752,0.04414132982492447,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.88,0.8619999885559082,0.8960250020027161,1024,0.437547937507418,,,2000,1000,1000,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,10,76dd3a08aa6cb1e0,-6,4,40,True,200,,,,,,,0.019397035241127014,0.0453568771481514,0.35661470890045166,,,,,15
m-brick-kiln,knn5,accuracy,0.8638638638638638,0.8428177833557129,0.8819069266319275,1024,,,,15063,999,999,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,2,47cd0fe39cb477b3,-6,4,40,True,200,,,,,,,0.028828192502260208,0.028975147753953934,0.033331453800201416,,,,,6
m-brick-kiln,linear,accuracy,0.9259259259259259,0.9108858704566956,0.9429429173469543,1024,0.13433993325988988,,,15063,999,999,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,2,47cd0fe39cb477b3,-6,4,40,True,200,,,,,,,0.020799636840820312,0.058133650571107864,0.3462296724319458,,,,,15
m-pv4ger,knn5,accuracy,0.964964964964965,0.9539539813995361,0.9749749898910522,1024,,,,11814,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,2,76dd3a08aa6cb1e0,-6,4,40,True,200,,,,,,,0.015815798193216324,0.02546342834830284,0.1185186505317688,,,,,6
m-pv4ger,linear,accuracy,0.9819819819819819,0.9739739894866943,0.988988995552063,1024,1.4251026703029963,,,11814,999,999,1,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,2,76dd3a08aa6cb1e0,-6,4,40,True,200,,,,,,,0.016222111880779266,0.049835965037345886,0.4907170534133911,,,,,15
m-eurosat,knn5,accuracy,0.781,0.7559999823570251,0.8050500154495239,1024,,,,2000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,10,47cd0fe39cb477b3,-6,4,40,True,200,,,,,,,0.03939984738826752,0.04414132982492447,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.885,0.8669999837875366,0.9049999713897705,1024,0.24244620170823258,,,2000,1000,1000,2,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,,bilinear,default,rgb,10,47cd0fe39cb477b3,-6,4,40,True,200,,,,,,,0.02674187161028385,0.05378996208310127,0.34097370505332947,,,,,15
