dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.830925925925926,0.8214675784111023,0.8405694365501404,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,10,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.018853599205613136,0.02242855355143547,0.16363634169101715,,,,,6
eurosat-spatial,linear,accuracy,0.9342592592592592,0.9279583096504211,0.9407546520233154,1024,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,10,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.017470864579081535,0.034228403121232986,0.16792002320289612,,,,,15
m-brick-kiln,knn5,accuracy,0.8668668668668669,0.8487987518310547,0.8889139294624329,1024,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,2,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.023823507130146027,0.030347194522619247,0.05293917655944824,,,,,6
m-brick-kiln,linear,accuracy,0.9569569569569569,0.9449449181556702,0.9679930210113525,1024,15.117750706156599,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,2,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.02078566700220108,0.04101784527301788,0.23516005277633667,,,,,15
m-eurosat,knn5,accuracy,0.77,0.7429999709129333,0.796999990940094,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,10,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.03540046885609627,0.04667095094919205,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.912,0.8959750533103943,0.9290000200271606,1024,8.376776400682907,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,10,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.026387719437479973,0.04512655362486839,0.22586029767990112,,,,,15
m-pv4ger,knn5,accuracy,0.9419419419419419,0.9279279112815857,0.9579830169677734,1024,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,2,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.02442435920238495,0.025222811847925186,0.04406774044036865,,,,,6
m-pv4ger,linear,accuracy,0.9519519519519519,0.9399399161338806,0.9649649858474731,1024,522.3345074266832,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,2,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.038123276084661484,0.0743752121925354,0.3602500557899475,,,,,15
m-so2sat,knn5,accuracy,0.3316430020283976,0.30522310733795166,0.3631085157394409,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,17,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.18296083807945251,0.19234788417816162,0.3096156418323517,,,,,6
m-so2sat,linear,accuracy,0.5344827586206896,0.5050456523895264,0.5679766535758972,1024,0.437547937507418,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,17,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.05936282128095627,0.07738011330366135,0.16842633485794067,,,,,15
so2sat,knn5,accuracy,0.3316430020283976,0.30423426628112793,0.3560091257095337,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,17,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.18296083807945251,0.19234788417816162,0.3096156418323517,,,,,6
so2sat,linear,accuracy,0.5334685598377282,0.5040060877799988,0.5659482479095459,1024,0.437547937507418,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,17,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.05675029754638672,0.07600165158510208,0.166720449924469,,,,,15
treesatai,knn5,micro_mAP,0.458289443768161,0.44209468364715576,0.4739834666252136,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,15,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.06766670607030392,0.08593083024024964,0.44941754390796024,,,,,6
treesatai,linear,micro_mAP,0.6686614090802635,0.6530254483222961,0.6835011839866638,1024,2.5719138090593416,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,,bilinear,default,rgb,15,865a59fb07d60a48,-6,4,40,True,200,,,,,,,0.02398717434455951,0.03963133428866664,0.2727202385663986,,,,,15
